,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 11 218],[ 10 240],[0.36154800000000004],0.49216727491580825,0,95.55051445783133,28,164,7930,34.54609740120001,2.748732530120482
Spine: 1,0,[ 21 221],[ 15 244],[0.33541200000000004],1.2022893568726116,0,66.89219870129871,30,133,5150,22.436446150800002,2.2468675324675327
Spine: 2,0,[ 39 226],[ 36 255],[0.32670000000000005],2.3003983346315593,0,36.09773466666667,14,70,2707,11.793129915600002,1.7948039999999998
Spine: 3,0,[ 46 200],[ 47 177],[0.35719200000000007],2.618296431511676,0,100.67468536585365,32,173,8255,35.9601922152,2.9034597560975612
Spine: 4,0,[ 62 225],[ 62 251],[0.339768],3.738700571820811,0,19.070802564102564,2,40,1487,6.4796484456000005,2.2068423076923076
Spine: 5,0,[ 73 207],[ 73 197],[0.5096520000000001],4.464700571820811,0,85.8637700854701,29,149,10046,43.76064215160001,15.906865811965812
Spine: 6,0,[ 86 206],[ 86 193],[0.24393600000000004],5.307042193199734,0,44.61900000000001,14,85,2498,10.884180384000002,4.021105357142857
Spine: 7,0,[ 88 229],[ 86 262],[0.29185200000000006],5.497286147600696,0,26.905832835820895,8,67,1802,7.852521124800001,1.485458208955224
Spine: 8,0,[118 203],[118 183],[0.313632],7.435969333546825,0,34.512480555555555,13,71,2484,10.824218301600002,3.028123611111111
Spine: 9,0,[120 229],[120 261],[0.7100280000000001],7.567969333546825,0,59.983339877300615,24,104,9777,42.589850846400005,2.230661963190184
Spine: 10,0,[146 224],[142 238],[0.265716],9.418319448020322,0,60.73358360655738,28,122,3704,16.137884901600003,4.518826229508197
Spine: 11,0,[193 219],[194 209],[0.43995600000000007],12.413018824188876,0,71.82742376237624,19,136,7254,31.600906048800006,11.841060396039603
Spine: 12,0,[197 233],[195 250],[0.296208],12.777442860235865,0,57.40460882352941,19,105,3903,17.0037043704,3.743458823529412
Spine: 13,0,[203 219],[204 207],[0.257004],13.068982089073465,0,62.187776271186436,14,113,3669,15.982507252800001,4.634747457627119
Spine: 14,0,[210 238],[208 262],[0.46173600000000004],13.641663032801514,0,30.87512924528302,9,62,3272,14.256158677200002,2.24222641509434
Spine: 15,0,[227 222],[227 212],[0.49222800000000005],14.675878820588315,0,65.72297168141593,24,111,7426,32.35068690480001,7.619330088495576
Spine: 16,0,[251 221],[251 207],[0.21780000000000002],16.268944264478577,0,58.76494199999999,13,140,2938,12.7990043676,3.743244
Spine: 17,0,[264 221],[264 207],[0.265716],17.14530402474703,0,28.75546557377049,5,71,1754,7.6407872904000005,3.838419672131148
Spine: 18,0,[273 240],[273 264],[0.30056400000000005],18.399304024747032,0,55.58455652173913,26,107,3835,16.706716646400004,3.179747826086956
Spine: 19,0,[296 246],[298 283],[0.46609200000000006],19.1902878578626,0,75.38110654205607,29,140,8065,35.13453071040001,1.574941121495327
Spine: 20,0,[305 235],[305 251],[0.37897200000000003],19.82364454191257,0,43.060731034482764,19,87,3746,16.3188113616,7.7170689655172415
Spine: 21,0,[307 216],[305 194],[0.33541200000000004],20.042190210561056,0,33.91862857142857,8,67,2611,11.376715046400001,2.5110766233766233
Spine: 22,0,[321 234],[322 250],[0.30492],20.86851020385637,0,21.758758571428572,5,59,1523,6.634680663600001,2.9853371428571425
Spine: 23,0,[340 211],[337 185],[0.43124400000000007],22.239569810566095,0,25.146737373737373,4,49,2489,10.844379612000001,1.9924696969696971
Spine: 24,0,[368 214],[364 203],[0.30056400000000005],24.155998795683214,0,64.42236376811593,20,131,4445,19.363043343599998,6.2664188405797105
Spine: 25,0,[376 230],[382 252],[0.28749600000000003],24.364576142377764,0,42.17325303030303,7,91,2783,12.1246415532,1.9610060606060606
Spine: 26,0,[384 207],[380 190],[0.31798800000000005],25.272402614787925,0,33.82696301369863,15,66,2469,10.7565683148,3.40552602739726
Spine: 27,0,[403 204],[399 190],[0.296208],26.54221729078479,0,33.46217941176471,9,60,2275,9.911765239200003,3.924098529411765
Spine: 28,0,[409 217],[412 231],[0.274428],26.718298154561168,0,28.687826984126982,4,63,1807,7.8727429836,3.026698412698413
Spine: 29,0,[420 178],[409 124],[0.27878400000000003],28.325150063147397,0,18.485710937500002,3,43,1183,5.153520438000001,0.859234375
Spine: 30,0,[430 195],[426 178],[0.39204000000000006],28.389868387742997,0,56.01541999999999,17,93,5041,21.9602852568,7.159039999999999
Spine: 31,0,[468 192],[468 174],[0.553212],30.80513430136473,0,34.78610866141732,14,65,4417,19.244092744800003,3.419395275590551
