,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[243 750],[180 710],[48.397104],65.33549734807585,0,50.28249194414608,19,101,46813,2433.526992,39.078410311493016
Spine: 1,0,[206 686],[ 32 577],[205.3368],70.19325563256899,0,56.43645569620253,13,93,222924,11588.481216,7.054212267752609
Spine: 2,0,[416 793],[587 977],[58.845888],82.53667129817637,0,42.68021201413428,14,62,48314,2511.554976,8.287985865724382
Spine: 3,0,[557 622],[774 737],[48.137184000000005],123.96122240881137,0,39.28401727861771,13,66,36377,1891.021968,17.02267818574514
Spine: 4,0,[445 403],[321 275],[72.361728],150.06675299951564,0,39.639367816091955,16,66,55178,2868.373152,8.077586206896552
Spine: 5,0,[731 307],[831 407],[63.108576000000006],212.73357654815288,0,43.04612850082372,15,75,52258,2716.5798720000003,10.574135090609555
Spine: 6,0,[593 185],[408  56],[89.67240000000001],214.6565136787761,0,50.71942028985507,13,78,87491,4548.132144,9.960579710144927
Spine: 7,0,[803 275],[975 413],[79.74345600000001],226.93255304456704,0,42.48174706649283,13,77,65167,3387.641328,13.221642764015645
Spine: 8,0,[712  46],[563  10],[55.36296],258.7795493512359,0,42.817840375586854,15,74,45601,2370.5223840000003,8.0
