Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[129.0, 6.0]",[12.9  0.6],193.80649999999997,195.80629999999996
"[129.0, 7.0]",[12.9  0.7],202.8056,192.05667499999998
"[129.0, 8.0]",[12.9  0.8],180.8078,195.20635999999996
"[129.0, 9.0]",[12.9  0.9],207.80509999999998,191.30674999999997
"[129.0, 10.0]",[12.9  1. ],171.8087,190.52111428571425
"[129.0, 11.0]",[12.9  1.1],185.8073,188.43203749999998
"[129.0, 12.0]",[12.9  1.2],173.80849999999998,184.4282222222222
"[129.0, 13.0]",[12.9  1.3],152.3977,181.12518
"[129.0, 14.0]",[12.9  1.4],151.3978,177.69549090909092
"[129.0, 15.0]",[12.9  1.5],143.3986,175.25404166666667
"[129.0, 16.0]",[12.9  1.6],148.39809999999997,174.34193076923077
"[129.0, 17.0]",[12.9  1.7],163.39659999999998,172.84590714285713
"[129.0, 18.0]",[12.9  1.8],153.3976,171.48269333333332
"[129.0, 19.0]",[12.9  1.9],152.3977,170.85232499999998
"[129.0, 20.0]",[12.9  2. ],161.39679999999998,170.7321294117647
"[129.0, 21.0]",[12.9  2.1],168.809,170.15794999999997
"[129.0, 22.0]",[12.9  2.2],160.39690000000002,169.27582631578946
"[129.0, 23.0]",[12.9  2.3],153.3976,170.1024
"[129.0, 24.0]",[12.9  2.4],185.8073,170.94548095238093
"[129.0, 25.0]",[12.9  2.5],187.8071,172.53001818181818
"[129.0, 26.0]",[12.9  2.6],205.80530000000002,172.80297391304347
"[129.0, 27.0]",[12.9  2.7],178.808,171.91109166666664
"[129.0, 28.0]",[12.9  2.8],151.3978,172.106976
"[129.0, 29.0]",[12.9  2.9],176.8082,173.01848846153845
"[129.0, 30.0]",[12.9  3. ],195.8063,173.71434814814813
"[129.0, 31.0]",[12.9  3.1],191.8067,174.78903214285714
"[129.0, 32.0]",[12.9  3.2],203.8055,174.9276172413793
"[129.0, 33.0]",[12.9  3.3],178.808,175.42359333333332
