Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[100.0, 129.0]",[25.   32.25],137.3992,nan
"[100.0, 129.0]",[25.   32.25],137.3992,108.06967647058823
"[101.0, 130.0]",[25.25 32.5 ],134.3995,111.01924999999999
"[101.0, 131.0]",[25.25 32.75],135.39939999999999,111.01924999999999
"[101.0, 131.0]",[25.25 32.75],135.39939999999999,113.70774583333333
"[101.0, 132.0]",[25.25 33.  ],137.3992,107.436865625
"[102.0, 133.0]",[25.5  33.25],121.4008,109.6272388888889
"[102.0, 134.0]",[25.5 33.5],142.3987,110.17965749999999
"[102.0, 135.0]",[25.5  33.75],126.40029999999999,109.8527
"[102.0, 136.0]",[25.5 34. ],123.4006,109.14932916666667
"[103.0, 137.0]",[25.75 34.25],136.3993,110.93648703703704
"[103.0, 138.0]",[25.75 34.5 ],135.39939999999999,109.69086440677965
"[103.0, 139.0]",[25.75 34.75],123.4006,108.96796249999998
"[103.0, 140.0]",[25.75 35.  ],120.4009,105.60469999999998
"[104.0, 141.0]",[26.   35.25],116.40129999999999,106.23872499999997
"[104.0, 142.0]",[26.  35.5],112.4017,106.02926374999997
"[104.0, 143.0]",[26.   35.75],94.4035,104.4651788235294
"[104.0, 144.0]",[26. 36.],90.4039,102.04753186813187
"[105.0, 145.0]",[26.25 36.25],95.4034,102.19715106382978
"[105.0, 146.0]",[26.25 36.5 ],99.403,101.46736597938143
"[105.0, 147.0]",[26.25 36.75],90.4039,100.07964509803921
"[105.0, 148.0]",[26.25 37.  ],76.9923,98.60668598130842
"[105.0, 149.0]",[26.25 37.25],76.9923,95.97124086956524
"[106.0, 150.0]",[26.5 37.5],126.40029999999999,97.50662016806724
"[106.0, 151.0]",[26.5  37.75],108.4021,98.08520731707318
"[106.0, 152.0]",[26.5 38. ],109.402,98.0911734375
"[106.0, 153.0]",[26.5  38.25],105.4024,98.17938947368421
"[106.0, 154.0]",[26.5 38.5],113.40159999999999,98.25396739130436
"[106.0, 155.0]",[26.5  38.75],119.40100000000001,97.90839520547945
"[107.0, 156.0]",[26.75 39.  ],146.3983,100.26321578947368
"[107.0, 157.0]",[26.75 39.25],158.3971,100.94972193548388
"[107.0, 158.0]",[26.75 39.5 ],145.3984,101.60866172839508
"[107.0, 159.0]",[26.75 39.75],142.3987,101.68916488095238
"[108.0, 160.0]",[27. 40.],156.3973,103.27008448275862
"[108.0, 161.0]",[27.   40.25],163.39659999999998,104.35978324022346
"[108.0, 162.0]",[27.  40.5],162.39669999999998,105.23810054347825
"[108.0, 163.0]",[27.   40.75],165.3964,105.41687958115183
"[108.0, 164.0]",[27. 41.],148.39809999999997,104.52997005076142
"[109.0, 165.0]",[27.25 41.25],166.3963,105.28504699999999
"[109.0, 166.0]",[27.25 41.5 ],128.40009999999998,105.25026798029558
"[109.0, 167.0]",[27.25 41.75],101.4028,105.17281699029125
"[109.0, 168.0]",[27.25 42.  ],107.4022,104.92338229665071
"[110.0, 169.0]",[27.5  42.25],152.3977,104.88891651376147
"[110.0, 170.0]",[27.5 42.5],125.4004,104.46387422222222
"[110.0, 171.0]",[27.5  42.75],131.3998,103.93518362068966
"[110.0, 172.0]",[27.5 43. ],116.40129999999999,103.82408870292888
"[110.0, 173.0]",[27.5  43.25],146.3983,103.91819306122449
"[111.0, 174.0]",[27.75 43.5 ],154.39749999999998,104.48748326693227
"[111.0, 175.0]",[27.75 43.75],142.3987,104.81620859375
"[111.0, 176.0]",[27.75 44.  ],167.3962,104.84118045977011
"[111.0, 177.0]",[27.75 44.25],150.3979,104.64692584269663
"[112.0, 178.0]",[28.  44.5],157.3972,104.7044564102564
"[112.0, 179.0]",[28.   44.75],160.39690000000002,104.89176546762589
"[112.0, 180.0]",[28. 45.],159.397,105.25410883392226
"[112.0, 181.0]",[28.   45.25],176.8082,105.73723576388889
"[112.0, 182.0]",[28.  45.5],175.80829999999997,106.01459796610169
"[113.0, 183.0]",[28.25 45.75],162.39669999999998,106.12345317725752
"[113.0, 184.0]",[28.25 46.  ],141.3988,106.29407161716172
"[113.0, 185.0]",[28.25 46.25],148.39809999999997,106.6028987012987
"[113.0, 186.0]",[28.25 46.5 ],159.397,106.93699936102236
"[113.0, 187.0]",[28.25 46.75],161.39679999999998,107.44374130434781
"[114.0, 188.0]",[28.5 47. ],158.3971,107.78495490797545
"[114.0, 189.0]",[28.5  47.25],173.80849999999998,108.28757666666665
"[114.0, 190.0]",[28.5 47.5],178.808,108.67853940298505
"[114.0, 191.0]",[28.5  47.75],169.8089,108.8295529239766
"[114.0, 192.0]",[28.5 48. ],130.3999,108.93305431034482
"[115.0, 193.0]",[28.75 48.25],126.40029999999999,109.07757386363636
"[115.0, 194.0]",[28.75 48.5 ],144.39849999999998,109.1612156424581
"[115.0, 195.0]",[28.75 48.75],123.4006,109.13974132231405
"[115.0, 196.0]",[28.75 49.  ],115.40140000000001,109.18406141304347
"[115.0, 197.0]",[28.75 49.25],115.40140000000001,109.2111091152815
"[115.0, 198.0]",[28.75 49.5 ],114.4015,109.22047751322751
"[115.0, 199.0]",[28.75 49.75],124.4005,109.23525807291666
"[116.0, 200.0]",[29. 50.],104.40249999999999,109.18398256410256
"[116.0, 201.0]",[29.   50.25],114.4015,109.26706361323154
"[116.0, 202.0]",[29.  50.5],105.4024,109.41453585858585
"[116.0, 203.0]",[29.   50.75],123.4006,109.52470626566415
"[116.0, 204.0]",[29. 51.],134.3995,109.63323233830846
"[116.0, 205.0]",[29.   51.25],132.3997,109.67349061728395
"[116.0, 206.0]",[29.  51.5],125.4004,109.73031200980391
"[116.0, 207.0]",[29.   51.75],132.3997,109.46227889688251
"[117.0, 208.0]",[29.25 52.  ],124.4005,109.3597791962175
"[117.0, 209.0]",[29.25 52.25],129.4,109.30557476635512
"[117.0, 210.0]",[29.25 52.5 ],151.3978,109.28033302540416
"[117.0, 211.0]",[29.25 52.75],156.3973,109.30360799086758
"[117.0, 212.0]",[29.25 53.  ],155.39739999999998,109.24284446952596
"[117.0, 213.0]",[29.25 53.25],130.3999,109.25932254464286
"[117.0, 214.0]",[29.25 53.5 ],135.39939999999999,109.31516799116997
"[117.0, 215.0]",[29.25 53.75],133.3996,109.38289323144105
"[117.0, 216.0]",[29.25 54.  ],122.4007,109.25852801724137
"[118.0, 217.0]",[29.5  54.25],163.39659999999998,109.62812115384615
"[118.0, 218.0]",[29.5 54.5],154.39749999999998,109.79567944915254
"[118.0, 219.0]",[29.5  54.75],144.39849999999998,109.87034381551362
"[118.0, 220.0]",[29.5 55. ],142.3987,109.9517570539419
"[118.0, 221.0]",[29.5  55.25],147.3982,109.9842753593429
"[118.0, 222.0]",[29.5 55.5],135.39939999999999,110.05615222672064
"[118.0, 223.0]",[29.5  55.75],145.3984,110.1994614
"[119.0, 224.0]",[29.75 56.  ],152.3977,110.45699484126983
"[119.0, 225.0]",[29.75 56.25],149.398,110.7006311023622
"[119.0, 226.0]",[29.75 56.5 ],137.3992,110.98974524271844
"[119.0, 227.0]",[29.75 56.75],135.39939999999999,111.20714749999998
"[119.0, 228.0]",[29.75 57.  ],149.398,111.21048384030419
"[120.0, 229.0]",[30.   57.25],125.4004,111.36112293233083
"[120.0, 230.0]",[30.  57.5],131.3998,111.46577430167596
"[120.0, 231.0]",[30.   57.75],157.3972,111.63306402214022
"[120.0, 232.0]",[30. 58.],142.3987,111.6758945155393
