Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[73.0, 4.0]",[21.9  1.2],201.80569999999997,206.1386
"[74.0, 5.0]",[22.2  1.5],213.8045,209.8049
"[74.0, 6.0]",[22.2  1.8],229.8029,208.94784285714286
"[75.0, 7.0]",[22.5  2.1],212.8046,206.36079999999998
"[75.0, 8.0]",[22.5  2.4],209.8049,206.4416
"[76.0, 9.0]",[22.8  2.7],227.80309999999997,207.97174999999996
"[77.0, 10.0]",[23.1  3. ],224.8034,206.66235714285713
"[77.0, 11.0]",[23.1  3.3],195.8063,207.24265624999998
"[78.0, 12.0]",[23.4  3.6],190.8068,205.08315
"[78.0, 13.0]",[23.4  3.9],181.80769999999998,202.20566
"[79.0, 14.0]",[23.7  4.2],170.8088,201.42333181818182
"[79.0, 15.0]",[23.7  4.5],165.3964,199.10489166666665
"[80.0, 16.0]",[24.   4.8],188.807,197.92816923076924
"[80.0, 17.0]",[24.   5.1],173.80849999999998,195.47637500000002
"[81.0, 18.0]",[24.3  5.4],183.8075,194.38471666666666
"[81.0, 19.0]",[24.3  5.7],156.3973,192.77333125
"[82.0, 20.0]",[24.6  6. ],165.3964,190.7512
"[82.0, 21.0]",[24.6  6.3],148.39809999999997,189.77069444444444
"[83.0, 22.0]",[24.9  6.6],181.80769999999998,188.0142
"[83.0, 23.0]",[24.9  6.9],153.3976,186.30836749999997
"[84.0, 24.0]",[25.2  7.2],152.3977,185.09829523809523
"[84.0, 25.0]",[25.2  7.5],158.3971,184.05877441860466
"[84.0, 26.0]",[25.2  7.8],140.3989,181.87391555555556
"[85.0, 27.0]",[25.5  8.1],128.40009999999998,180.3217659574468
"[85.0, 28.0]",[25.5  8.4],142.3987,178.9779469387755
"[86.0, 29.0]",[25.8  8.7],126.40029999999999,177.60228431372548
"[86.0, 30.0]",[25.8  9. ],134.3995,176.80991923076922
"[86.0, 31.0]",[25.8  9.3],136.3993,175.49839629629628
"[87.0, 32.0]",[26.1  9.6],143.3986,173.9770125
"[87.0, 33.0]",[26.1  9.9],126.40029999999999,172.73294827586207
"[88.0, 34.0]",[26.4 10.2],127.4002,171.15519666666665
"[88.0, 35.0]",[26.4 10.5],115.40140000000001,169.42119677419356
"[89.0, 36.0]",[26.7 10.8],122.4007,167.8736890625
"[89.0, 37.0]",[26.7 11.1],114.4015,166.4199696969697
"[90.0, 38.0]",[27.  11.4],137.3992,165.4634867647059
"[90.0, 39.0]",[27.  11.7],122.4007,164.13313142857143
"[91.0, 40.0]",[27.3 12. ],127.4002,163.5293972222222
"[91.0, 41.0]",[27.3 12.3],134.3995,162.78263918918918
"[92.0, 42.0]",[27.6 12.6],144.39849999999998,162.23306315789472
"[92.0, 43.0]",[27.6 12.9],145.3984,161.97334871794874
"[93.0, 44.0]",[27.9 13.2],169.8089,161.63396749999998
"[93.0, 45.0]",[27.9 13.5],143.3986,161.54786097560975
"[94.0, 46.0]",[28.2 13.8],169.8089,161.52045714285714
"[94.0, 47.0]",[28.2 14.1],164.3965,161.51758139534883
"[95.0, 48.0]",[28.5 14.4],167.3962,161.40121136363635
"[95.0, 49.0]",[28.5 14.7],152.3977,161.47888333333333
"[96.0, 50.0]",[28.8 15. ],164.3965,161.3571142857143
"[97.0, 51.0]",[29.1 15.3],150.3979,161.51293010752687
"[97.0, 52.0]",[29.1 15.6],158.3971,160.98422210526314
"[98.0, 53.0]",[29.4 15.9],130.3999,160.66563541666667
"[99.0, 54.0]",[29.7 16.2],130.3999,160.42969387755102
"[99.0, 55.0]",[29.7 16.5],125.4004,159.859095
"[100.0, 56.0]",[30.  16.8],151.3978,160.11600792079207
"[101.0, 57.0]",[30.3 17.1],185.8073,160.29050291262135
"[101.0, 58.0]",[30.3 17.4],158.3971,160.16873238095238
"[102.0, 59.0]",[30.6 17.7],162.39669999999998,160.34457452830188
"[103.0, 60.0]",[30.9 18. ],178.808,160.56385420560747
"[104.0, 61.0]",[31.2 18.3],183.8075,160.81604862385322
"[104.0, 62.0]",[31.2 18.6],170.8088,161.11320360360358
"[105.0, 63.0]",[31.5 18.9],168.809,161.31583125
"[106.0, 64.0]",[31.8 19.2],183.8075,161.3384157894737
"[106.0, 65.0]",[31.8 19.5],170.8088,161.54123793103446
"[107.0, 66.0]",[32.1 19.8],184.8074,161.65244745762712
"[107.0, 67.0]",[32.1 20.1],161.39679999999998,161.79327999999998
"[108.0, 68.0]",[32.4 20.4],165.3964,161.89671147540983
"[108.0, 69.0]",[32.4 20.7],163.39659999999998,161.9968064516129
"[109.0, 70.0]",[32.7 21. ],164.3965,162.20810079365077
"[109.0, 71.0]",[32.7 21.3],176.8082,162.19865
"[110.0, 72.0]",[33.  21.6],169.8089,162.1786223076923
"[110.0, 73.0]",[33.  21.9],162.39669999999998,162.53663257575758
"[111.0, 74.0]",[33.3 22.2],201.80569999999997,162.77948880597015
"[111.0, 75.0]",[33.3 22.5],176.8082,162.93864411764707
"[112.0, 76.0]",[33.6 22.8],181.80769999999998,163.21935434782608
"[112.0, 77.0]",[33.6 23.1],169.8089,163.14332285714283
"[113.0, 78.0]",[33.9 23.4],157.3972,163.1850056338028
"[113.0, 79.0]",[33.9 23.7],161.39679999999998,163.21858680555556
"[114.0, 80.0]",[34.2 24. ],177.8081,163.2923397260274
"[114.0, 81.0]",[34.2 24.3],168.3961,163.23863265306122
"[114.0, 82.0]",[34.2 24.6],155.39739999999998,162.91863758389263
"[115.0, 83.0]",[34.5 24.9],131.3998,162.72631258278145
"[115.0, 84.0]",[34.5 25.2],153.3976,162.5782274509804
"[116.0, 85.0]",[34.8 25.5],137.3992,162.24688580645162
"[116.0, 86.0]",[34.8 25.8],132.3997,162.30176987179487
"[116.0, 87.0]",[34.8 26.1],170.8088,162.4005363057325
"[116.0, 88.0]",[34.8 26.4],177.8081,162.4507974842767
"[117.0, 89.0]",[35.1 26.7],164.3965,162.40921614906833
"[117.0, 90.0]",[35.1 27. ],148.39809999999997,162.3042111111111
"[117.0, 91.0]",[35.1 27.3],145.3984,162.20662883435583
"[117.0, 92.0]",[35.1 27.6],146.3983,162.0695527272727
"[118.0, 93.0]",[35.4 27.9],144.39849999999998,161.93575988023952
"[118.0, 94.0]",[35.4 28.2],154.39749999999998,161.9623107142857
"[118.0, 95.0]",[35.4 28.5],166.3963,161.83471656804733
"[118.0, 96.0]",[35.4 28.8],140.3989,161.49044736842103
"[119.0, 97.0]",[35.7 29.1],135.39939999999999,161.2350549132948
"[119.0, 98.0]",[35.7 29.4],145.3984,161.1900120689655
"[119.0, 99.0]",[35.7 29.7],153.3976,161.105488
"[119.0, 100.0]",[35.7 30. ],146.3983,160.97079318181818
"[119.0, 101.0]",[35.7 30.3],137.3992,160.2423038674033
