,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[ 37 250],[ 33 227],[0.701316],1.5012914937154036,0,28.062111801242235,32.63354037267081,32.13664596273292,32.5527950310559,38.1055900621118,30.937888198757765,36.5527950310559,35.11180124223603,6,5,6,5,8,4,6,5,72,87,95,85,111,99,119,115,4518,5254,5174,5241,6135,4981,5885,5653,19.680408000000003,22.886424,22.537944000000003,22.829796,26.72406,21.697236000000004,25.635060000000003,24.624468000000004,5.142857142857143,4.130434782608695,4.788819875776397,4.3478260869565215,3.9316770186335406,3.9751552795031055,4.763975155279503,4.086956521739131
Spine: 1,0,[ 45 277],[ 50 310],[0.7405200000000001],1.7074478237963218,0,82.40588235294118,77.82352941176471,66.87058823529412,87.00588235294117,68.4235294117647,82.55294117647058,80.92941176470588,89.90588235294118,11,12,8,9,4,7,6,7,232,232,236,255,221,232,239,248,14009,13230,11368,14791,11632,14034,13758,15284,61.02320400000001,57.62988000000001,49.51900800000001,64.429596,50.668992,61.132104000000005,59.92984800000001,66.577104,4.276470588235294,3.4411764705882355,4.317647058823529,4.070588235294117,3.9411764705882355,3.523529411764706,4.623529411764705,4.311764705882353
Spine: 2,0,[ 64 251],[ 66 233],[0.592416],3.0880897800358205,0,71.31617647058823,73.79411764705883,72.97058823529412,74.625,76.875,67.56617647058823,67.75735294117646,65.97058823529412,6,8,8,8,6,8,6,6,200,218,234,237,224,253,240,223,9699,10036,9924,10149,10455,9189,9215,8972,42.248844000000005,43.716816,43.228944000000006,44.209044000000006,45.54198,40.027284,40.14054,39.082032000000005,6.220588235294118,6.580882352941177,6.602941176470588,6.867647058823529,6.382352941176471,5.889705882352941,6.823529411764706,5.647058823529412
Spine: 3,0,[ 81 272],[ 79 292],[0.7884360000000001],4.313505773172902,0,70.39226519337016,73.30386740331491,76.33149171270718,79.85082872928177,74.58011049723757,104.03867403314918,97.46408839779005,82.6353591160221,11,7,8,4,7,5,5,6,199,181,196,219,225,237,199,202,12741,13268,13816,14453,13499,18831,17641,14957,55.499796,57.79540800000001,60.18249600000001,62.957268000000006,58.80164400000001,82.02783600000001,76.84419600000001,65.152692,6.0,5.928176795580111,6.176795580110498,5.204419889502763,5.43646408839779,6.171270718232044,6.773480662983426,6.071823204419889
Spine: 4,0,[111 238],[108 191],[0.8581320000000001],6.345373202676605,0,47.09644670050761,57.48223350253807,56.46700507614213,50.27918781725889,41.15228426395939,43.72081218274111,42.23857868020305,57.84263959390863,6,5,6,3,4,3,4,1,160,166,166,166,169,171,181,190,9278,11324,11124,9905,8107,8613,8321,11395,40.414968,49.327344000000004,48.45614400000001,43.14618000000001,35.314092,37.51822800000001,36.246276,49.63662000000001,2.8781725888324874,2.263959390862944,3.0558375634517767,2.3248730964467006,2.8934010152284264,2.436548223350254,3.050761421319797,2.934010152284264
Spine: 5,0,[124 275],[125 303],[0.6316200000000001],7.074852704169819,0,39.358620689655176,35.15862068965517,34.317241379310346,41.213793103448275,35.179310344827584,71.28965517241379,76.0,46.13103448275862,9,5,4,6,4,12,10,4,98,106,105,127,102,198,190,171,5707,5098,4976,5976,5101,10337,11020,6689,24.859692000000003,22.206888000000003,21.675456000000004,26.031456000000002,22.219956000000003,45.027972000000005,48.00312,29.137284000000005,3.9034482758620688,3.9586206896551723,4.2,4.062068965517241,3.9172413793103447,4.896551724137931,4.951724137931034,4.275862068965517
Spine: 6,0,[133 252],[133 236],[0.8581320000000001],8.369265902972211,0,77.47208121827411,89.98477157360406,79.94923857868021,75.80710659898477,87.6497461928934,87.60406091370558,81.69543147208122,84.28934010152284,11,14,12,9,9,13,8,14,182,205,170,173,223,214,220,173,15262,17727,15750,14934,17267,17258,16094,16605,66.481272,77.21881200000001,68.60700000000001,65.05250400000001,75.21505200000001,75.175848,70.10546400000001,72.33138000000001,9.527918781725889,11.040609137055837,10.878172588832488,12.771573604060913,13.33502538071066,11.34010152284264,9.131979695431472,12.030456852791879
Spine: 7,0,[189 263],[201 289],[0.8755560000000001],11.124848909672338,0,40.03482587064676,45.81094527363184,43.09452736318408,59.74626865671642,56.85572139303483,72.3681592039801,91.14925373134328,78.86069651741293,6,5,6,5,7,9,8,6,147,156,150,224,161,212,234,228,8047,9208,8662,12009,11428,14546,18321,15851,35.052732000000006,40.110048000000006,37.731672,52.311204000000004,49.780368,63.362376000000005,79.80627600000001,69.04695600000001,4.587064676616915,3.2686567164179103,4.517412935323383,4.233830845771144,4.263681592039801,4.243781094527363,5.651741293532338,4.517412935323383
Spine: 8,0,[178 224],[151 181],[0.8929800000000001],11.756265967289076,0,32.892682926829266,39.702439024390245,46.1609756097561,41.90731707317073,50.53658536585366,58.38048780487805,38.453658536585365,30.897560975609757,3,5,4,2,3,5,4,2,89,115,130,116,149,180,138,123,6743,8139,9463,8591,10360,11968,7883,6334,29.372508000000003,35.453484,41.220828000000004,37.422396000000006,45.12816000000001,52.132608000000005,34.338348,27.590904000000002,2.375609756097561,1.5658536585365854,2.3853658536585365,2.1951219512195124,2.3658536585365852,2.5121951219512195,3.024390243902439,2.448780487804878
Spine: 9,0,[217 208],[201 168],[1.1325600000000002],14.257714784673823,0,55.3,65.98461538461538,52.33076923076923,61.01538461538462,66.5,74.61153846153846,73.21538461538462,77.4423076923077,7,8,5,11,5,7,6,5,132,146,159,143,151,184,194,190,14378,17156,13606,15864,17290,19399,19036,20135,62.630568000000004,74.731536,59.267736000000006,69.10358400000001,75.31524,84.50204400000001,82.92081600000002,87.70806,3.4153846153846152,2.8692307692307693,3.919230769230769,3.246153846153846,2.873076923076923,3.2346153846153847,4.384615384615385,3.6961538461538463
