,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 13 395],[ 19 407],[0.41382],0.3562908120860992,0,103.36915157894737,26,219,9820,42.77622230640001,5.8988968421052626
Spine: 1,0,[ 26 390],[ 39 403],[0.47044800000000003],1.0926374136635233,0,122.0751462962963,35,212,13184,57.43000842480001,3.71067037037037
Spine: 2,0,[ 19 369],[ 10 356],[0.5052960000000001],1.8224537707825648,0,32.615568103448275,6,72,3783,16.480516100400003,5.592524137931035
Spine: 3,0,[ 27 357],[ 12 352],[0.44431200000000004],3.004954337280581,0,154.14460784313727,38,243,15722,68.48829900000001,4.662189215686275
Spine: 4,0,[ 44 336],[ 56 336],[0.24393600000000004],4.581186256625572,0,58.336444642857145,6,133,3266,14.230358960400002,3.8525964285714283
Spine: 5,0,[ 30 331],[ 14 331],[0.331056],5.151135096339639,0,54.01110263157894,7,129,4104,17.8806995928,3.8469302631578954
Spine: 6,0,[ 25 324],[ 10 324],[0.41817600000000005],5.34913509633964,0,29.733919791666665,6,64,2854,12.4340116428,3.1142260416666665
Spine: 7,0,[ 32 315],[ 17 309],[0.331056],5.759205738154877,0,63.510114473684204,5,161,4826,21.0254044572,3.7331250000000002
Spine: 8,0,[ 47 315],[ 58 319],[0.41382],6.12688250774544,0,32.92688947368421,5,125,3128,13.625805402000003,3.555942105263158
Spine: 9,0,[ 44 286],[ 24 271],[0.4878720000000001],7.650193694082572,0,47.199421428571426,17,121,5286,23.0272761312,3.2744178571428573
Spine: 10,0,[ 33 275],[ 10 241],[0.396396],7.795393694082571,0,29.84194725274725,4,68,2715,11.8292285232,2.1717505494505494
Spine: 11,0,[ 66 275],[ 59 268],[0.44866800000000007],9.072410358623497,0,63.32659708737864,8,137,6522,28.412617662,7.4421087378640784
Spine: 12,0,[ 82 282],[ 98 298],[0.5270760000000001],9.492431786648304,0,35.2290694214876,7,99,4262,18.5683969944,4.073471074380165
Spine: 13,0,[ 75 261],[ 63 249],[0.39204000000000006],10.145798452464675,0,47.08711222222222,5,124,4237,18.4600314756,4.289335555555556
Spine: 14,0,[ 90 272],[102 286],[0.39204000000000006],10.372139923853696,0,106.1150622222222,25,222,9550,41.6013489936,3.233685555555556
Spine: 15,0,[ 85 246],[ 68 225],[0.4225320000000001],11.32030690785703,0,52.08545154639175,6,103,5052,22.007770012800005,2.8353185567010306
Spine: 16,0,[100 238],[ 91 216],[0.46173600000000004],12.100730375803517,0,49.27976320754718,11,104,5223,22.754240744400004,2.679154716981132
Spine: 17,0,[122 254],[131 273],[0.5619240000000001],13.11680263975436,0,99.67952015503876,35,216,12858,56.01231468360001,3.008164341085271
Spine: 18,0,[149 200],[136 138],[0.43560000000000004],15.673136693592758,0,16.575699,2,34,1657,7.220374484400001,6.420416
Spine: 19,0,[167 223],[167 207],[0.627264],16.45219302867364,0,60.68462291666666,14,110,8738,38.0652793092,3.6667819444444447
Spine: 20,0,[213 224],[215 207],[0.37026000000000003],19.42528271978755,0,21.46516705882353,2,46,1824,7.9476927552,12.508744705882354
Spine: 21,0,[222 242],[219 258],[0.38332800000000006],20.177663147075652,0,84.99131818181819,25,180,7479,32.579552016,3.2956090909090907
Spine: 22,0,[255 255],[251 287],[0.5837040000000001],22.415579935053486,0,26.150181343283585,6,57,3504,15.263965450800004,1.1234358208955224
Spine: 23,0,[267 233],[268 219],[0.30056400000000005],23.412886022184235,0,54.990159420289864,13,122,3794,16.528062276000004,3.7969652173913038
Spine: 24,0,[272 256],[268 286],[0.5967720000000001],23.552052994393325,0,39.092030656934305,13,78,5355,23.3290293192,1.3295576642335765
Spine: 25,0,[282 229],[285 204],[0.5967720000000001],23.98592649598638,0,77.15578102189781,23,131,10570,46.04440975200001,1.711824087591241
Spine: 26,0,[300 237],[303 221],[0.34412400000000004],25.193751248713003,0,41.22363670886076,8,109,3256,14.186042758800001,2.3806151898734176
Spine: 27,0,[299 264],[291 300],[0.47480400000000006],25.478511876933645,0,25.161166972477062,4,46,2742,11.9466227232,0.915797247706422
Spine: 28,0,[324 243],[325 229],[0.313632],26.857057339477045,0,29.999427777777775,4,63,2159,9.4087805328,2.107873611111111
Spine: 29,0,[355 261],[355 281],[0.41382],28.96077190659771,0,68.37193263157894,17,140,6495,28.293673161600005,2.1958063157894734
Spine: 30,0,[369 242],[365 224],[0.396396],30.00126489086979,0,125.77499780219779,17,228,11445,49.856706028800005,2.675420879120879
Spine: 31,0,[380 260],[384 281],[0.44866800000000007],30.480180492877235,0,36.19419902912622,8,74,3728,16.23917889,2.1221660194174756
Spine: 32,0,[389 256],[396 274],[0.43560000000000004],30.999054605900632,0,37.010705,13,78,3701,16.121863098000002,1.9463870000000003
Spine: 33,0,[411 217],[399 193],[0.42688800000000005],33.6909243815388,0,30.785776530612246,5,63,3017,13.142078571600003,1.109069387755102
Spine: 34,0,[422 218],[418 202],[0.35283600000000004],33.877335862811144,0,30.05638148148148,6,63,2434,10.6049734164,1.929351851851852
Spine: 35,0,[469 191],[452 182],[0.5662800000000001],38.28888865031506,0,45.706997692307695,4,91,5941,25.882958653200003,2.537163846153846
