Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[74.0, 6.0]",[18.5  1.5],229.8029,199.97669523809523
"[75.0, 6.0]",[18.75  1.5 ],184.8074,196.3842137931034
"[75.0, 7.0]",[18.75  1.75],212.8046,196.5743515151515
"[75.0, 8.0]",[18.75  2.  ],209.8049,195.4693925
"[76.0, 8.0]",[19.  2.],227.80309999999997,194.30893636363635
"[76.0, 9.0]",[19.    2.25],227.80309999999997,194.98659111111112
"[77.0, 10.0]",[19.25  2.5 ],224.8034,193.1774
"[77.0, 11.0]",[19.25  2.75],195.8063,190.48555593220337
"[78.0, 12.0]",[19.5  3. ],190.8068,191.02285076923079
"[78.0, 13.0]",[19.5   3.25],181.80769999999998,186.0234875
"[79.0, 14.0]",[19.75  3.5 ],170.8088,186.45475569620254
"[79.0, 15.0]",[19.75  3.75],165.3964,183.62033529411764
"[80.0, 16.0]",[20.  4.],188.807,184.7973945054945
"[80.0, 17.0]",[20.    4.25],173.80849999999998,182.24515773195876
"[81.0, 18.0]",[20.25  4.5 ],183.8075,182.39610485436893
"[81.0, 19.0]",[20.25  4.75],156.3973,179.7816100917431
"[82.0, 20.0]",[20.5  5. ],165.3964,179.31138695652172
"[82.0, 21.0]",[20.5   5.25],148.39809999999997,176.9521330578512
"[83.0, 22.0]",[20.75  5.5 ],181.80769999999998,175.57950393700787
"[83.0, 23.0]",[20.75  5.75],153.3976,173.9211803030303
"[83.0, 24.0]",[20.75  6.  ],154.39749999999998,171.46079782608697
"[84.0, 25.0]",[21.    6.25],158.3971,169.86797083333332
"[84.0, 26.0]",[21.   6.5],140.3989,167.65322533333335
"[85.0, 27.0]",[21.25  6.75],128.40009999999998,166.9712922077922
"[85.0, 28.0]",[21.25  7.  ],142.3987,164.9252962732919
"[86.0, 29.0]",[21.5   7.25],126.40029999999999,163.93681696969696
"[86.0, 30.0]",[21.5  7.5],134.3995,162.57194244186047
"[87.0, 31.0]",[21.75  7.75],139.399,161.8009909090909
"[87.0, 32.0]",[21.75  8.  ],143.3986,160.54603186813188
"[87.0, 33.0]",[21.75  8.25],126.40029999999999,158.87654521276596
"[88.0, 34.0]",[22.   8.5],127.4002,157.93397474226802
"[88.0, 35.0]",[22.    8.75],115.40140000000001,156.1209865
"[89.0, 36.0]",[22.25  9.  ],122.4007,155.66076470588237
"[89.0, 37.0]",[22.25  9.25],114.4015,154.34884028436016
"[90.0, 38.0]",[22.5  9.5],137.3992,153.87557880184332
"[90.0, 39.0]",[22.5   9.75],122.4007,152.32585848214285
"[91.0, 40.0]",[22.75 10.  ],127.4002,152.037674122807
"[91.0, 41.0]",[22.75 10.25],134.3995,151.70637811158798
"[92.0, 42.0]",[23.  10.5],144.39849999999998,151.6505421940928
"[92.0, 43.0]",[23.   10.75],145.3984,151.21544612244898
"[93.0, 44.0]",[23.25 11.  ],169.8089,151.30909083665338
"[93.0, 45.0]",[23.25 11.25],143.3986,150.78601899224807
"[94.0, 46.0]",[23.5 11.5],169.8089,150.9476356060606
"[94.0, 47.0]",[23.5  11.75],164.3965,150.41166900369004
"[95.0, 48.0]",[23.75 12.  ],167.3962,149.99907857142856
"[96.0, 49.0]",[24.   12.25],168.3961,150.12426223776222
"[96.0, 50.0]",[24.  12.5],164.3965,149.25776109215016
"[97.0, 51.0]",[24.25 12.75],150.3979,149.407105
"[97.0, 52.0]",[24.25 13.  ],158.3971,148.96295065789474
"[98.0, 53.0]",[24.5  13.25],130.3999,148.7687996763754
"[99.0, 54.0]",[24.75 13.5 ],130.3999,148.91183333333333
"[99.0, 55.0]",[24.75 13.75],125.4004,148.4197456521739
"[100.0, 56.0]",[25. 14.],151.3978,148.69534678899083
"[101.0, 57.0]",[25.25 14.25],185.8073,149.1341377245509
"[101.0, 58.0]",[25.25 14.5 ],158.3971,148.44819882352942
"[102.0, 59.0]",[25.5  14.75],162.39669999999998,148.75908443804036
"[103.0, 60.0]",[25.75 15.  ],178.808,149.178511898017
"[103.0, 61.0]",[25.75 15.25],185.8073,149.1646691011236
"[104.0, 62.0]",[26.  15.5],170.8088,149.10967753424657
"[105.0, 63.0]",[26.25 15.75],168.809,149.23044146341462
"[105.0, 64.0]",[26.25 16.  ],161.39679999999998,148.7777210106383
"[106.0, 65.0]",[26.5  16.25],170.8088,149.0027269633508
"[106.0, 66.0]",[26.5 16.5],174.80839999999998,148.84890597402597
"[107.0, 67.0]",[26.75 16.75],161.39679999999998,148.50466446700509
"[108.0, 68.0]",[27. 17.],165.3964,148.74760625
"[108.0, 69.0]",[27.   17.25],163.39659999999998,148.2552339901478
"[109.0, 70.0]",[27.25 17.5 ],164.3965,148.49088058252428
"[109.0, 71.0]",[27.25 17.75],176.8082,148.11976028708133
"[110.0, 72.0]",[27.5 18. ],169.8089,148.35342358490567
"[110.0, 73.0]",[27.5  18.25],162.39669999999998,148.15174162790697
"[111.0, 74.0]",[27.75 18.5 ],201.80569999999997,148.49240252293578
"[111.0, 75.0]",[27.75 18.75],176.8082,148.18705113122172
"[112.0, 76.0]",[28. 19.],181.80769999999998,148.40021116071426
"[112.0, 77.0]",[28.   19.25],169.8089,147.86537797356826
"[113.0, 78.0]",[28.25 19.5 ],157.3972,147.97321413043477
"[113.0, 79.0]",[28.25 19.75],161.39679999999998,147.894808172043
"[113.0, 80.0]",[28.25 20.  ],181.80769999999998,147.40270063694268
"[114.0, 81.0]",[28.5  20.25],168.3961,147.39845157232705
"[114.0, 82.0]",[28.5 20.5],155.39739999999998,147.08292525879918
"[115.0, 83.0]",[28.75 20.75],131.3998,147.04998752556236
"[115.0, 84.0]",[28.75 21.  ],153.3976,146.9413512145749
"[115.0, 85.0]",[28.75 21.25],161.39679999999998,146.8080214
"[116.0, 86.0]",[29.  21.5],132.3997,146.97671462450595
"[116.0, 87.0]",[29.   21.75],170.8088,147.05485459882584
"[116.0, 88.0]",[29. 22.],177.8081,147.05898178294575
"[116.0, 89.0]",[29.   22.25],181.80769999999998,146.8609605363985
"[117.0, 90.0]",[29.25 22.5 ],148.39809999999997,146.89736553030303
"[117.0, 91.0]",[29.25 22.75],145.3984,146.77449681050658
"[117.0, 92.0]",[29.25 23.  ],146.3983,146.4929572222222
"[118.0, 93.0]",[29.5  23.25],144.39849999999998,146.4186642857143
"[118.0, 94.0]",[29.5 23.5],154.39749999999998,146.36040907441014
"[118.0, 95.0]",[29.5  23.75],166.3963,146.20608902877697
"[118.0, 96.0]",[29.5 24. ],140.3989,146.0092249554367
"[118.0, 97.0]",[29.5  24.25],149.398,145.07628739054292
"[119.0, 98.0]",[29.75 24.5 ],145.3984,145.10909670710572
"[119.0, 99.0]",[29.75 24.75],153.3976,144.94665017182132
"[119.0, 100.0]",[29.75 25.  ],146.3983,144.77775059625213
"[119.0, 101.0]",[29.75 25.25],137.3992,144.34264107744107
"[120.0, 102.0]",[30.  25.5],155.39739999999998,144.3065366666667
"[120.0, 103.0]",[30.   25.75],135.39939999999999,144.2765773553719
"[120.0, 104.0]",[30. 26.],152.3977,144.16215721311474
"[120.0, 105.0]",[30.   26.25],148.39809999999997,144.0008219512195
"[120.0, 106.0]",[30.  26.5],144.39849999999998,143.41011768488747
"[121.0, 107.0]",[30.25 26.75],148.39809999999997,143.4800643312102
"[121.0, 108.0]",[30.25 27.  ],144.39849999999998,143.20865339652448
"[121.0, 109.0]",[30.25 27.25],129.4,142.94084937304075
"[121.0, 110.0]",[30.25 27.5 ],130.3999,142.61034292379472
"[121.0, 111.0]",[30.25 27.75],128.40009999999998,141.78098984615386
"[122.0, 112.0]",[30.5 28. ],128.40009999999998,141.67190547945205
"[122.0, 113.0]",[30.5  28.25],114.4015,141.47739531722056
"[122.0, 114.0]",[30.5 28.5],129.4,141.2932968515742
"[122.0, 115.0]",[30.5  28.75],141.3988,140.8828418397626
"[123.0, 116.0]",[30.75 29.  ],172.8086,141.08463950073423
"[123.0, 117.0]",[30.75 29.25],168.3961,141.08255655976677
"[123.0, 118.0]",[30.75 29.5 ],160.39690000000002,140.95860705035972
"[124.0, 119.0]",[31.   29.75],160.39690000000002,141.18838532763533
"[124.0, 120.0]",[31. 30.],171.8087,141.37775692090395
"[124.0, 121.0]",[31.   30.25],174.80839999999998,141.5613726507714
"[124.0, 122.0]",[31.  30.5],181.80769999999998,141.74956722222223
"[125.0, 123.0]",[31.25 30.75],183.8075,142.13527138927097
"[125.0, 124.0]",[31.25 31.  ],176.8082,142.35732035519126
"[125.0, 125.0]",[31.25 31.25],193.80649999999997,142.56278928086837
"[125.0, 126.0]",[31.25 31.5 ],186.80719999999997,142.67947897574123
"[125.0, 127.0]",[31.25 31.75],194.8064,142.40930761014687
"[126.0, 128.0]",[31.5 32. ],175.80829999999997,142.73642860927154
"[126.0, 129.0]",[31.5  32.25],167.3962,142.72159342105263
"[126.0, 130.0]",[31.5 32.5],164.3965,142.60315477124183
"[126.0, 131.0]",[31.5  32.75],127.4002,142.51642721354168
"[126.0, 132.0]",[31.5 33. ],114.4015,142.14864077419355
"[126.0, 133.0]",[31.5  33.25],113.40159999999999,141.84793307692308
"[126.0, 134.0]",[31.5 33.5],109.402,141.1239952986023
"[127.0, 135.0]",[31.75 33.75],118.4011,141.0988389380531
"[127.0, 136.0]",[31.75 34.  ],113.40159999999999,140.96776654088052
"[127.0, 137.0]",[31.75 34.25],105.4024,140.6669585
"[127.0, 138.0]",[31.75 34.5 ],104.40249999999999,140.37112931677018
"[127.0, 139.0]",[31.75 34.75],102.4027,140.01723012345678
"[127.0, 140.0]",[31.75 35.  ],93.40359999999998,139.6222790184049
"[127.0, 141.0]",[31.75 35.25],89.404,139.22188573170732
"[127.0, 142.0]",[31.75 35.5 ],81.9918,138.75632820823245
"[128.0, 143.0]",[32.   35.75],119.40100000000001,138.5319643457383
"[128.0, 144.0]",[32. 36.],125.4004,138.3385739856802
"[128.0, 145.0]",[32.   36.25],120.4009,138.1481740213523
"[128.0, 146.0]",[32.  36.5],118.4011,137.9173225882353
"[128.0, 147.0]",[32.   36.75],113.40159999999999,137.81371789473687
"[128.0, 148.0]",[32. 37.],123.4006,137.64620813953488
"[128.0, 149.0]",[32.   37.25],99.403,137.44268971098265
"[128.0, 150.0]",[32.  37.5],106.4023,137.17025333333333
"[128.0, 151.0]",[32.   37.75],98.4031,136.82389485714288
"[128.0, 152.0]",[32. 38.],73.99260000000001,136.11143764172337
"[129.0, 153.0]",[32.25 38.25],114.4015,136.04582184684685
"[129.0, 154.0]",[32.25 38.5 ],112.4017,135.91637081930415
"[129.0, 155.0]",[32.25 38.75],109.402,135.63469029017855
"[129.0, 156.0]",[32.25 39.  ],95.4034,135.39497791342953
"[129.0, 157.0]",[32.25 39.25],112.4017,135.27286659292037
"[129.0, 158.0]",[32.25 39.5 ],105.4024,134.74004709748084
"[129.0, 159.0]",[32.25 39.75],103.40259999999999,134.51073583877996
"[129.0, 160.0]",[32.25 40.  ],111.4018,134.19832708559048
"[129.0, 161.0]",[32.25 40.25],89.404,133.90436950431035
"[129.0, 162.0]",[32.25 40.5 ],97.4032,133.61892111468381
"[129.0, 163.0]",[32.25 40.75],96.4033,133.16532662406817
"[130.0, 164.0]",[32.5 41. ],115.40140000000001,133.13451018027573
"[130.0, 165.0]",[32.5  41.25],118.4011,133.05072502639916
"[130.0, 166.0]",[32.5 41.5],124.4005,132.87313634453784
"[130.0, 167.0]",[32.5  41.75],114.4015,132.64516196447232
"[130.0, 168.0]",[32.5 42. ],109.402,132.4528180873181
"[130.0, 169.0]",[32.5  42.25],122.4007,132.13436625386998
"[130.0, 170.0]",[32.5 42.5],114.4015,131.92853562628338
"[130.0, 171.0]",[32.5  42.75],110.4019,131.75238386108273
"[130.0, 172.0]",[32.5 43. ],111.4018,131.58005457317074
"[130.0, 173.0]",[32.5  43.25],97.4032,131.43272123356928
"[130.0, 174.0]",[32.5 43.5],107.4022,131.16296291457286
"[131.0, 175.0]",[32.75 43.75],138.3991,131.19994364364365
"[131.0, 176.0]",[32.75 44.  ],137.3992,131.14898985074626
"[131.0, 177.0]",[32.75 44.25],133.3996,131.06270267326732
"[131.0, 178.0]",[32.75 44.5 ],126.40029999999999,130.9910573399015
"[131.0, 179.0]",[32.75 44.75],138.3991,130.9534444117647
"[131.0, 180.0]",[32.75 45.  ],144.39849999999998,130.94001356097564
"[131.0, 181.0]",[32.75 45.25],116.40129999999999,130.88108660194175
"[131.0, 182.0]",[32.75 45.5 ],122.4007,130.83915246376813
"[131.0, 183.0]",[32.75 45.75],123.4006,130.75684394230768
"[131.0, 184.0]",[32.75 46.  ],116.40129999999999,130.7066053537285
"[132.0, 185.0]",[33.   46.25],152.3977,130.88147899239544
"[132.0, 186.0]",[33.  46.5],153.3976,130.94675610217598
"[132.0, 187.0]",[33.   46.75],145.3984,130.94473418079096
"[132.0, 188.0]",[33. 47.],134.3995,130.89025285848174
"[132.0, 189.0]",[33.   47.25],132.3997,130.8362797574627
"[132.0, 190.0]",[33.  47.5],143.3986,130.72950492107708
"[132.0, 191.0]",[33.   47.75],105.4024,130.54793890942702
"[132.0, 192.0]",[33. 48.],94.4035,130.26384310661766
"[133.0, 193.0]",[33.25 48.25],124.4005,130.2533535714286
"[133.0, 194.0]",[33.25 48.5 ],120.4009,130.19732472627737
"[133.0, 195.0]",[33.25 48.75],119.40100000000001,130.06345985467757
"[133.0, 196.0]",[33.25 49.  ],105.4024,129.93532567811937
"[133.0, 197.0]",[33.25 49.25],117.4012,129.78817317731773
"[133.0, 198.0]",[33.25 49.5 ],110.4019,129.67854793906812
"[133.0, 199.0]",[33.25 49.75],128.40009999999998,129.53831329170384
"[133.0, 200.0]",[33.25 50.  ],124.4005,129.29967836879433
"[133.0, 201.0]",[33.25 50.25],118.4011,129.02346237885462
"[134.0, 202.0]",[33.5 50.5],125.4004,129.0028378402107
"[134.0, 203.0]",[33.5  50.75],137.3992,128.9543639545057
"[134.0, 204.0]",[33.5 51. ],130.3999,128.89758867595822
"[134.0, 205.0]",[33.5  51.25],139.399,128.83089921942758
"[134.0, 206.0]",[33.5 51.5],130.3999,128.79414369602765
"[134.0, 207.0]",[33.5  51.75],148.39809999999997,128.77661891659503
"[134.0, 208.0]",[33.5 52. ],139.399,128.73869828767124
"[134.0, 209.0]",[33.5  52.25],141.3988,128.72837868712705
"[134.0, 210.0]",[33.5 52.5],153.3976,128.66048372881357
"[134.0, 211.0]",[33.5  52.75],145.3984,128.62781611814347
"[134.0, 212.0]",[33.5 53. ],157.3972,128.54488623005878
"[135.0, 213.0]",[33.75 53.25],161.39679999999998,128.56783020920503
"[135.0, 214.0]",[33.75 53.5 ],138.3991,128.5631009174312
