,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[205  14],[185  28],[7.630847999999999],0.33878689786082544,0,1034.4130434782608,238,2441,95166,7893.448703999999,60.07608695652174
Spine: 1,0,[229  12],[242  10],[3.9813119999999995],3.9383976876321087,0,869.4583333333334,264,2716,41734,3461.5848959999994,102.60416666666667
Spine: 2,0,[228  33],[220  39],[4.727808],8.571939441445096,0,1914.5263157894738,426,3918,109128,9051.512831999999,155.9298245614035
Spine: 3,0,[221  26],[212  33],[5.640191999999999],9.936300434010038,0,1668.735294117647,274,4095,113474,9411.987455999999,133.66176470588235
Spine: 4,0,[246  38],[257  30],[7.630847999999999],12.799611080411452,0,1966.1521739130435,706,4095,180886,15003.408383999998,299.2608695652174
Spine: 5,0,[235  46],[223  53],[6.303743999999999],12.959364736924321,0,1792.8684210526317,340,4095,136258,11301.783551999999,104.36842105263158
Spine: 6,0,[249  47],[257  41],[3.4007039999999997],15.353123272080598,0,1554.2682926829268,503,3321,63725,5285.6064,193.9512195121951
Spine: 7,0,[248  89],[226  97],[6.718463999999999],26.317992143851846,0,892.3333333333334,181,2263,72279,5995.109375999999,56.51851851851852
Spine: 8,0,[272  89],[291  81],[7.216127999999999],28.79925554003475,0,1386.0689655172414,181,3555,120588,10002.051071999998,62.89655172413793
Spine: 9,0,[258 112],[238 119],[6.967295999999999],33.56016599403907,0,950.0833333333334,213,2263,79807,6619.511807999999,58.785714285714285
Spine: 10,0,[279 112],[295 105],[3.8983679999999996],35.683760568765656,0,762.5744680851063,278,1862,35841,2972.7959039999996,75.57446808510639
Spine: 11,0,[287 116],[314 104],[8.377343999999999],37.70820570609307,0,1571.2574257425742,432,3565,158697,13162.963967999998,55.504950495049506
Spine: 12,0,[282 130],[292 127],[5.1425279999999995],40.67558147152256,0,1650.4193548387098,511,3727,102326,8487.327743999998,142.74193548387098
Spine: 13,0,[267 134],[247 138],[2.3224319999999996],40.74543173153303,0,1393.0714285714287,304,3287,39006,3235.313664,62.57142857142857
Spine: 14,0,[294 155],[311 147],[6.2208],48.95332354916183,0,1354.8533333333332,395,3639,101614,8428.271615999998,63.93333333333333
Spine: 15,0,[297 162],[313 154],[7.879679999999999],51.23940291202226,0,896.3894736842105,182,2157,85157,7063.262207999999,67.16842105263157
Spine: 16,0,[295 211],[278 213],[6.552575999999999],64.56251139426824,0,780.1518987341772,188,2018,61632,5112.004607999999,144.1139240506329
Spine: 17,0,[325 244],[341 236],[6.552575999999999],76.27549933481367,0,1624.620253164557,409,4095,128345,10645.44768,76.0506329113924
Spine: 18,0,[310 252],[295 258],[7.962623999999999],76.55710643006798,0,1123.9791666666667,202,2645,107902,8949.823487999998,81.5625
Spine: 19,0,[309 264],[284 279],[7.216127999999999],79.06485920866389,0,1251.6666666666667,206,2967,108895,9032.18688,55.67816091954023
Spine: 20,0,[335 263],[346 253],[5.80608],83.00373614739642,0,1638.5285714285715,349,3932,114697,9513.427967999998,100.1
Spine: 21,0,[345 306],[330 314],[9.289727999999998],95.82201378880735,0,1566.4910714285713,420,3238,175447,14552.275967999998,71.97321428571429
Spine: 22,0,[361 302],[373 294],[5.80608],96.3104608119143,0,1977.0714285714287,442,4095,138395,11479.03488,104.88571428571429
Spine: 23,0,[370 313],[387 303],[8.792063999999998],100.17663513331681,0,1733.1792452830189,405,3450,183717,15238.222847999998,62.15094339622642
Spine: 24,0,[377 327],[392 317],[8.460287999999998],104.82513375452015,0,1158.0392156862745,240,3384,118120,9797.34528,63.21568627450981
Spine: 25,0,[364 340],[348 347],[9.870335999999998],106.30003821124146,0,1903.9159663865546,354,3787,226566,18792.290304,70.99159663865547
Spine: 26,0,[371 351],[356 362],[9.538559999999999],109.4678210909205,0,1970.2260869565218,373,4095,226576,18793.119743999996,69.19130434782609
Spine: 27,0,[401 384],[385 400],[6.967295999999999],122.08694119895013,0,1317.2261904761904,273,3195,110647,9177.504767999999,60.214285714285715
Spine: 28,0,[421 374],[433 358],[9.621503999999998],124.3815310787121,0,2072.4741379310344,315,4095,240407,19940.318207999997,65.71551724137932
Spine: 29,0,[390 378],[369 399],[7.962623999999999],124.73434898771256,0,900.40625,255,2048,86439,7169.596415999999,56.166666666666664
Spine: 30,0,[430 411],[418 419],[6.3866879999999995],133.86111184188323,0,1647.7922077922078,390,3854,126880,10523.93472,78.22077922077922
Spine: 31,0,[450 412],[463 402],[5.80608],137.54751184188325,0,1032.2857142857142,248,2518,72260,5993.533439999999,67.47142857142858
Spine: 32,0,[442 428],[429 437],[5.80608],139.85151184188325,0,1829.2428571428572,419,3785,128047,10620.730367999999,75.04285714285714
Spine: 33,0,[445 431],[433 440],[5.640191999999999],140.9858050605489,0,1901.1176470588234,459,4095,129276,10722.668543999998,79.63235294117646
