Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[106.0, 4.0]",[26.5  1. ],90.4039,86.26666666666665
"[106.0, 5.0]",[26.5   1.25],117.4012,96.05009999999999
"[106.0, 6.0]",[26.5  1.5],125.4004,107.71958
"[106.0, 7.0]",[26.5   1.75],154.39749999999998,118.82962857142856
"[105.0, 8.0]",[26.25  2.  ],110.4019,114.13342222222224
"[105.0, 9.0]",[26.25  2.25],126.40029999999999,116.85996
"[105.0, 10.0]",[26.25  2.5 ],141.3988,117.99996363636365
"[105.0, 11.0]",[26.25  2.75],129.4,118.06167692307692
"[104.0, 12.0]",[26.  3.],49.995000000000005,109.91936
"[104.0, 13.0]",[26.    3.25],61.99379999999999,107.98640624999999
"[104.0, 14.0]",[26.   3.5],78.9921,107.18741176470589
"[104.0, 15.0]",[26.    3.75],94.4035,106.87253157894737
"[103.0, 16.0]",[25.75  4.  ],80.99189999999999,104.28452857142858
"[103.0, 17.0]",[25.75  4.25],104.40249999999999,104.97164090909092
"[103.0, 18.0]",[25.75  4.5 ],119.40100000000001,106.5907125
"[102.0, 19.0]",[25.5   4.75],116.40129999999999,107.65303461538461
"[102.0, 20.0]",[25.5  5. ],149.398,109.16211111111112
"[102.0, 21.0]",[25.5   5.25],148.39809999999997,110.67052857142858
"[102.0, 22.0]",[25.5  5.5],151.3978,112.51910000000001
"[101.0, 23.0]",[25.25  5.75],125.4004,113.26168750000001
"[101.0, 24.0]",[25.25  6.  ],149.398,113.69012727272727
"[101.0, 25.0]",[25.25  6.25],127.4002,114.53449705882353
"[101.0, 26.0]",[25.25  6.5 ],142.3987,115.11038333333333
"[100.0, 27.0]",[25.    6.75],125.4004,115.62565
"[100.0, 28.0]",[25.  7.],146.3983,116.33777692307693
"[100.0, 29.0]",[25.    7.25],143.3986,116.65791707317072
"[99.0, 30.0]",[24.75  7.5 ],112.4017,116.57622093023257
"[99.0, 31.0]",[24.75  7.75],132.3997,117.25399545454546
"[99.0, 32.0]",[24.75  8.  ],146.3983,117.56471304347826
"[98.0, 33.0]",[24.5   8.25],117.4012,117.70371875000001
"[98.0, 34.0]",[24.5  8.5],128.40009999999998,118.28932244897958
"[98.0, 35.0]",[24.5   8.75],146.3983,119.1759705882353
"[97.0, 36.0]",[24.25  9.  ],130.3999,119.52405094339622
"[97.0, 37.0]",[24.25  9.25],147.3982,119.98468888888887
"[97.0, 38.0]",[24.25  9.5 ],144.39849999999998,120.30309464285713
"[96.0, 39.0]",[24.    9.75],112.4017,119.80651724137931
"[96.0, 40.0]",[24. 10.],115.40140000000001,119.47764237288135
"[96.0, 41.0]",[24.   10.25],100.40289999999999,119.64301499999998
"[96.0, 42.0]",[24.  10.5],129.4,119.0384935483871
"[95.0, 43.0]",[23.75 10.75],93.40359999999998,118.45613125
"[95.0, 44.0]",[23.75 11.  ],108.4021,118.56296615384616
"[95.0, 45.0]",[23.75 11.25],125.4004,118.2596567164179
"[94.0, 46.0]",[23.5 11.5],101.4028,117.43176811594202
"[94.0, 47.0]",[23.5  11.75],99.403,117.6455957142857
"[94.0, 48.0]",[23.5 12. ],132.3997,117.49993194444443
"[93.0, 49.0]",[23.25 12.25],98.4031,117.09983108108106
"[93.0, 50.0]",[23.25 12.5 ],130.3999,117.25050133333333
"[93.0, 51.0]",[23.25 12.75],128.40009999999998,117.92967272727272
"[92.0, 52.0]",[23. 13.],154.39749999999998,119.1112746835443
