Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[106.0, 7.0]",[26.5   1.75],197.8061,nan
"[106.0, 7.0]",[26.5   1.75],197.8061,181.87963846153846
"[105.0, 8.0]",[26.25  2.  ],172.8086,157.99167000000003
"[105.0, 9.0]",[26.25  2.25],203.8055,157.99167000000003
"[105.0, 9.0]",[26.25  2.25],203.8055,164.178216
"[105.0, 10.0]",[26.25  2.5 ],213.8045,171.67832758620688
"[104.0, 11.0]",[26.    2.75],192.8066,165.09626666666665
"[104.0, 12.0]",[26.  3.],231.8027,168.66060731707316
"[104.0, 13.0]",[26.    3.25],211.8047,171.9204
"[104.0, 14.0]",[26.   3.5],220.8038,176.838244
"[103.0, 15.0]",[25.75  3.75],222.8036,175.51776140350876
"[103.0, 16.0]",[25.75  4.  ],227.80309999999997,177.26544833333335
"[103.0, 17.0]",[25.75  4.25],223.80349999999999,178.85382424242425
"[102.0, 18.0]",[25.5  4.5],208.80499999999998,179.15956142857144
"[102.0, 19.0]",[25.5   4.75],204.8054,179.75171733333335
"[102.0, 20.0]",[25.5  5. ],207.80509999999998,181.25680370370372
"[101.0, 21.0]",[25.25  5.25],219.80389999999997,182.21895294117647
"[101.0, 22.0]",[25.25  5.5 ],228.803,182.79604555555557
"[101.0, 23.0]",[25.25  5.75],203.8055,182.71714081632658
"[100.0, 24.0]",[25.  6.],216.8042,182.35868557692308
"[100.0, 25.0]",[25.    6.25],204.8054,182.8708532110092
"[100.0, 26.0]",[25.   6.5],205.80530000000002,182.14091206896552
"[99.0, 27.0]",[24.75  6.75],209.8049,182.60469836065573
"[99.0, 28.0]",[24.75  7.  ],217.8041,182.95123543307085
"[99.0, 29.0]",[24.75  7.25],199.80589999999998,183.28354166666665
"[99.0, 30.0]",[24.75  7.5 ],187.8071,182.84360143884894
"[98.0, 31.0]",[24.5   7.75],193.80649999999997,183.2696551724138
"[98.0, 32.0]",[24.5  8. ],195.8063,183.37424133333334
"[98.0, 33.0]",[24.5   8.25],181.80769999999998,183.09907324840762
"[97.0, 34.0]",[24.25  8.5 ],217.8041,183.5048042682927
"[97.0, 35.0]",[24.25  8.75],217.8041,183.28469411764706
"[97.0, 36.0]",[24.25  9.  ],193.80649999999997,183.36186158192092
"[96.0, 37.0]",[24.    9.25],196.8062,183.10804945652174
"[96.0, 38.0]",[24.   9.5],198.806,183.1490147368421
"[96.0, 39.0]",[24.    9.75],197.8061,183.50530862944163
"[95.0, 40.0]",[23.75 10.  ],192.8066,183.65353233830845
"[95.0, 41.0]",[23.75 10.25],214.8044,183.08352259615384
"[95.0, 42.0]",[23.75 10.5 ],199.80589999999998,183.21871069767442
"[94.0, 43.0]",[23.5  10.75],189.80689999999998,181.7866792792793
"[94.0, 44.0]",[23.5 11. ],210.8048,181.38271666666668
"[94.0, 45.0]",[23.5  11.25],205.80530000000002,181.81235531914893
"[93.0, 46.0]",[23.25 11.5 ],215.80429999999998,180.43021983471078
"[93.0, 47.0]",[23.25 11.75],205.80530000000002,180.20857620967743
"[93.0, 48.0]",[23.25 12.  ],214.8044,180.23977372549018
"[93.0, 49.0]",[23.25 12.25],211.8047,180.81596259541985
"[92.0, 50.0]",[23.  12.5],208.80499999999998,179.62821970260222
"[92.0, 51.0]",[23.   12.75],217.8041,179.73217116788322
"[92.0, 52.0]",[23. 13.],203.8055,180.16106120996443
"[91.0, 53.0]",[22.75 13.25],189.80689999999998,178.79735540069686
"[91.0, 54.0]",[22.75 13.5 ],211.8047,178.76731506849316
"[91.0, 55.0]",[22.75 13.75],204.8054,179.2063508361204
"[90.0, 56.0]",[22.5 14. ],168.809,177.22642418300654
"[90.0, 57.0]",[22.5  14.25],181.80769999999998,176.45034358974362
"[90.0, 58.0]",[22.5 14.5],202.8056,176.2862072555205
"[90.0, 59.0]",[22.5  14.75],203.8055,176.50694798761612
"[89.0, 60.0]",[22.25 15.  ],158.3971,174.38891606060608
