,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 28 105],[ 31 114],[0.8900000000000001],2.2523700254858916,0,84.7205820224719,6,217,7540,75.401318,4.932091011235955
Spine: 1,0,[ 37 107],[ 42 125],[0.7500000000000001],3.0477604143497157,0,39.895712,5,117,2992,29.92178400000001,0.026663999999999997
Spine: 2,0,[66 99],[ 70 118],[0.6700000000000002],6.121984788482409,0,35.21516119402985,5,130,2359,23.594158000000004,0.059695522388059696
Spine: 3,0,[129  82],[129 104],[0.8700000000000002],12.985653857507481,0,75.86043218390805,4,170,6599,65.99857600000001,6.056865517241379
Spine: 4,0,[134  55],[134  23],[0.6000000000000001],13.485653857507481,0,37.92663833333333,2,102,2275,22.755983,0.03333
Spine: 5,0,[137  84],[137 110],[0.6100000000000001],13.785653857507482,0,21.68635573770492,1,52,1322,13.228677000000003,1.3441278688524587
Spine: 6,0,[141  60],[141  38],[0.7200000000000002],14.185653857507482,0,36.12891944444445,1,115,2601,26.012822000000007,0.9582375000000002
Spine: 7,0,[158  78],[161  95],[0.8200000000000002],15.72094983585201,0,87.1195512195122,23,169,7143,71.43803200000002,0.18290853658536585
Spine: 8,0,[191  80],[191 106],[0.7300000000000001],19.21066252897306,0,30.35312876712329,3,64,2215,22.157784000000007,0.13697260273972603
Spine: 9,0,[191  80],[191 106],[0.6900000000000002],19.21066252897306,0,30.373773913043475,3,64,2095,20.957904000000003,0.13042173913043478
Spine: 10,0,[191  80],[191 106],[0.8200000000000002],19.21066252897306,0,32.806632926829266,3,88,2690,26.901439,0.14632682926829269
Spine: 11,0,[191  94],[191 148],[0.5000000000000001],19.21066252897306,0,24.157583999999996,1,80,1207,12.078792000000002,3.2396760000000002
Spine: 12,0,[211  51],[211  19],[0.6600000000000001],21.21066252897306,0,21.6342,3,53,1427,14.278572000000002,1.89375
Spine: 13,0,[230  36],[230  10],[0.6000000000000001],23.110662528973062,0,28.06386,3,56,1683,16.838316000000003,0.41662499999999997
Spine: 14,0,[230  36],[230  10],[0.5800000000000001],23.110662528973062,0,30.53142931034483,4,56,1770,17.708229000000003,0.49995
Spine: 15,0,[230  36],[230  10],[0.56],23.110662528973062,0,31.13974285714286,7,56,1743,17.438256000000006,0.4642392857142857
Spine: 16,0,[223  43],[223  10],[0.5900000000000001],23.21066252897306,0,13.98165254237288,0,40,824,8.249175000000001,0.15252711864406776
Spine: 17,0,[223  43],[223  10],[0.6300000000000001],23.21066252897306,0,13.935114285714285,0,40,877,8.779122000000001,0.19045714285714285
Spine: 18,0,[231  49],[231  13],[0.6800000000000002],23.21066252897306,0,30.20286176470588,5,70,2053,20.537946,0.7940382352941177
Spine: 19,0,[223  43],[223  10],[0.6700000000000002],23.21066252897306,0,14.132914925373134,0,40,946,9.469053000000002,0.1790865671641791
Spine: 20,0,[237  36],[237  10],[0.7800000000000001],23.810662528973065,0,40.6868358974359,3,111,3173,31.735732000000006,0.6922384615384615
Spine: 21,0,[237  36],[237  10],[0.8900000000000001],23.810662528973065,0,44.34728988764045,3,111,3946,39.469088000000006,0.7414988764044943
Spine: 22,0,[237  36],[237  10],[0.5800000000000001],23.810662528973065,0,26.549068965517243,3,76,1539,15.398460000000004,0.5171896551724138
Spine: 23,0,[243  33],[259  10],[0.6700000000000002],24.053198154009394,0,57.75994776119403,9,111,3869,38.69916500000001,6.253105970149255
Spine: 24,0,[247  53],[254  21],[0.8800000000000001],24.441255154067534,0,17.5550625,2,42,1544,15.448455000000003,4.9199625000000005
Spine: 25,0,[252  57],[257  31],[0.6600000000000001],25.08588408614284,0,29.466749999999998,6,60,1944,19.448055000000004,1.31805
Spine: 26,0,[250  84],[242 110],[0.6900000000000002],25.531234178545635,0,17.433039130434782,1,48,1202,12.028797000000003,0.04347391304347826
Spine: 27,0,[280  59],[287  23],[0.5500000000000002],27.996244762169205,0,9.94446,0,27,546,5.469453000000001,0.018179999999999998
Spine: 28,0,[282  70],[285  54],[0.6700000000000002],28.29041896487648,0,47.44658059701493,5,96,3178,31.789209000000007,0.820813432835821
Spine: 29,0,[294  73],[294  63],[1.1400000000000001],29.647311872987032,0,95.52833070175437,22,199,10890,108.902297,8.192163157894734
Spine: 30,0,[294  53],[289  10],[0.5900000000000001],29.89507860858152,0,15.659450847457627,0,48,923,9.239076000000003,0.40673898305084744
Spine: 31,0,[294  53],[289  10],[0.4600000000000001],29.89507860858152,0,18.932889130434784,2,48,870,8.709129000000003,0.36952826086956514
Spine: 32,0,[294  53],[289  10],[0.4700000000000001],29.89507860858152,0,18.70025744680851,2,48,878,8.789121000000002,0.4254893617021277
Spine: 33,0,[306  64],[301  40],[0.6000000000000001],31.099949359826702,0,20.564610000000002,3,46,1233,12.338766000000003,0.016665
Spine: 34,0,[306  64],[301  40],[0.7200000000000002],31.099949359826702,0,23.48949722222222,3,86,1691,16.912438,0.013887499999999999
Spine: 35,0,[306  64],[301  40],[0.7300000000000001],31.099949359826702,0,23.22251232876712,3,86,1695,16.952434,0.0136972602739726
Spine: 36,0,[312  91],[318 122],[0.7900000000000001],31.158784200368157,0,69.75440886075948,16,125,5510,55.105982999999995,0.0
Spine: 37,0,[315  66],[312  49],[0.6200000000000001],31.91702860712784,0,76.83343548387096,11,133,4763,47.63673000000001,0.387058064516129
Spine: 38,0,[329  63],[329  45],[0.9600000000000002],33.20259210476854,0,68.01128645833332,16,133,6529,65.290835,0.489534375
Spine: 39,0,[342  51],[344  10],[1.1100000000000003],34.378067919892956,0,53.89882792792793,17,104,5982,59.82769900000002,0.0
Spine: 40,0,[372  83],[374 105],[0.7200000000000002],37.38047021898124,0,96.73120833333331,41,191,6964,69.64647000000001,1.4859625
Spine: 41,0,[438  33],[422  15],[0.6300000000000001],45.69133308350554,0,28.886,2,63,1819,18.198180000000004,0.0
Spine: 42,0,[448  30],[440  17],[1.3000000000000003],46.52288071027777,0,33.27225615384615,3,101,4325,43.253933,0.27689538461538454
Spine: 43,0,[448  30],[440  17],[0.6300000000000001],46.52288071027777,0,27.568671428571427,3,69,1736,17.368263000000002,0.3491714285714285
Spine: 44,0,[448  30],[440  17],[1.2400000000000002],46.52288071027777,0,31.774345967741937,3,87,3940,39.400189000000005,0.249975
Spine: 45,0,[455  51],[469  74],[0.6100000000000001],46.809080137879484,0,24.420932786885245,2,99,1489,14.896769000000003,0.0
Spine: 46,0,[454  21],[441  10],[0.5300000000000001],47.508678738683685,0,26.582247169811325,1,61,1408,14.088591000000005,0.13206226415094338
Spine: 47,0,[474   6],[459  10],[0.7500000000000001],49.974769777813165,0,25.533964,4,111,1915,19.150473,0.986568
