,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[44 83],[45 57],[0.9800000000000002],0.05902995919424479,0,43.23037040816326,5,83,4236,42.36576300000001,2.907872448979592
Spine: 1,0,[ 74 125],[ 74 181],[0.56],3.002271554554524,0,13.891467857142857,0,39,777,7.779222000000002,0.01785535714285714
Spine: 2,0,[ 77 114],[ 77 148],[0.6500000000000001],3.3022715545545243,0,24.612923076923078,2,59,1599,15.998400000000004,0.13844769230769227
Spine: 3,0,[ 90 109],[ 85 128],[0.8600000000000002],4.863087573372915,0,82.6982,12,164,7112,71.12045200000001,0.7092313953488372
Spine: 4,0,[106 120],[101 155],[0.8600000000000002],6.47244783289371,0,38.29849534883721,5,80,3293,32.93670600000001,0.05813372093023255
Spine: 5,0,[112  93],[114  74],[0.5100000000000001],6.732920775531048,0,15.6651,0,67,798,7.989201000000002,1.8037411764705884
Spine: 6,0,[119 125],[114 167],[0.5200000000000001],7.795141724368467,0,13.152530769230768,1,32,683,6.839316000000001,11.095044230769231
Spine: 7,0,[122 121],[118 155],[0.7500000000000001],8.049134234340613,0,27.952561333333335,2,96,2096,20.964421000000005,1.413192
Spine: 8,0,[132  96],[132  79],[0.6500000000000001],8.81181926792692,0,37.80257230769231,7,84,2457,24.571672000000003,0.36919384615384615
Spine: 9,0,[141 116],[139 137],[0.8300000000000002],9.827710247687357,0,43.28980240963855,6,91,3593,35.930536,31.659484337349394
Spine: 10,0,[155  98],[155  84],[0.6000000000000001],11.16311602354074,0,39.90106833333333,2,135,2394,23.940641,0.416625
Spine: 11,0,[158 124],[158 162],[0.5000000000000001],11.463116023540739,0,13.318668,0,44,665,6.659334000000001,0.159984
Spine: 12,0,[158 116],[158 138],[0.5500000000000002],11.463116023540739,0,18.32544,2,64,1007,10.078992000000001,0.7817399999999999
Spine: 13,0,[180 117],[181 142],[0.7100000000000002],13.614035719732597,0,46.86701126760563,12,95,3327,33.27557800000001,0.014083098591549294
Spine: 14,0,[197 110],[197 122],[0.5100000000000001],15.340654976403847,0,34.99435490196078,3,110,1784,17.847121,0.9802941176470586
Spine: 15,0,[202  95],[201  77],[0.6600000000000001],15.900207513288052,0,52.31325303030303,4,117,3452,34.52674700000001,0.15149999999999997
Spine: 16,0,[214 112],[214 129],[0.6300000000000001],17.031302998561113,0,29.076457142857144,3,79,1831,18.318168000000004,0.19045714285714285
