,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 24 161],[ 49 185],[0.5000000000000001],0.8778905922106081,0,18.978102,1,62,948,9.489051000000002,1.179882
Spine: 1,0,[ 22 150],[ 34 162],[0.7200000000000002],1.5354865414320362,0,58.99347916666667,19,100,4247,42.475305000000006,1.2221
Spine: 2,0,[  7 180],[ 34 190],[0.7800000000000001],1.6702937110224294,0,18.741715384615382,4,38,1461,14.618538000000001,1.2434653846153845
Spine: 3,0,[ 21 124],[ 10 109],[0.5800000000000001],3.303966250004377,0,18.44643103448276,5,41,1069,10.698930000000002,0.2585948275862069
Spine: 4,0,[51 95],[37 77],[0.6200000000000001],7.346925955381803,0,23.997600000000002,7,56,1487,14.878512000000004,0.14514677419354835
Spine: 5,0,[48 88],[25 58],[0.56],7.526925955381802,0,15.926978571428572,2,42,891,8.919108000000001,0.48209464285714293
Spine: 6,0,[137  81],[137 103],[0.7200000000000002],16.189561067901874,0,23.0949125,2,61,1662,16.628337000000002,1.1526625
Spine: 7,0,[154  82],[154 108],[0.9800000000000002],17.93464645890716,0,32.211064285714286,7,69,3156,31.566843000000006,17.294188775510204
Spine: 8,0,[164  56],[164  30],[1.0300000000000002],18.93464645890716,0,30.37560291262136,5,58,3128,31.28687100000001,1.223178640776699
Spine: 9,0,[186  80],[183  98],[0.6900000000000002],21.28015944442937,0,25.055465217391305,1,78,1728,17.288271,0.5651608695652174
Spine: 10,0,[228  89],[222 112],[0.8200000000000002],25.70239807484279,0,26.070563414634147,4,55,2137,21.377862000000004,1.5486256097560973
Spine: 11,0,[254  72],[254  56],[0.9400000000000002],28.03175716500297,0,27.199407446808515,5,62,2556,25.567443000000008,14.987862765957448
Spine: 12,0,[265  95],[259 120],[0.7100000000000002],29.449714966549983,0,15.942067605633802,3,35,1131,11.318868000000002,0.8309028169014085
Spine: 13,0,[285 101],[277 127],[0.6800000000000002],31.599238315572144,0,11.278283823529414,2,24,766,7.669233000000003,0.0882264705882353
Spine: 14,0,[293  77],[299  55],[0.5900000000000001],31.72249771009556,0,24.556866101694915,3,69,1448,14.488551000000003,0.06778983050847456
Spine: 15,0,[350  86],[358  50],[0.5100000000000001],37.51207755645595,0,6.352305882352941,0,16,323,3.2396760000000007,0.0
Spine: 16,0,[390  97],[394  70],[0.7000000000000002],41.789582906140154,0,11.39886,1,28,797,7.979202000000002,0.028568571428571426
Spine: 17,0,[413  99],[413  77],[0.6500000000000001],44.35264524976532,0,21.813203076923074,2,83,1417,14.178582000000002,0.7691538461538461
