Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[96.0, 46.0]",[24.  11.5],192.8066,nan
"[96.0, 46.0]",[24.  11.5],192.8066,215.66145714285713
"[96.0, 47.0]",[24.   11.75],204.8054,217.8398107142857
"[96.0, 48.0]",[24. 12.],227.80309999999997,217.8398107142857
"[96.0, 48.0]",[24. 12.],227.80309999999997,218.17549142857143
"[96.0, 49.0]",[24.   12.25],229.8029,217.58983571428567
"[96.0, 50.0]",[24.  12.5],224.8034,216.38765102040816
"[96.0, 51.0]",[24.   12.75],232.80259999999998,215.03962857142855
"[96.0, 52.0]",[24. 13.],207.80509999999998,213.69616349206348
"[96.0, 53.0]",[24.   13.25],195.8063,212.5356857142857
"[96.0, 54.0]",[24.  13.5],220.8038,212.07366133333332
"[96.0, 55.0]",[24.   13.75],200.80579999999998,211.23370975609754
"[96.0, 56.0]",[24. 14.],211.8047,209.87426516853932
"[96.0, 57.0]",[24.   14.25],201.80569999999997,208.52559166666666
"[96.0, 58.0]",[24.  14.5],197.8061,207.08841553398057
"[96.0, 59.0]",[24.   14.75],193.80649999999997,206.07049272727272
"[96.0, 60.0]",[24. 15.],209.8049,205.00846666666666
"[96.0, 61.0]",[24.   15.25],200.80579999999998,203.8970088709677
"[96.0, 62.0]",[24.  15.5],183.8075,202.29818778625952
"[96.0, 63.0]",[24.   15.75],181.80769999999998,201.03845362318842
"[96.0, 64.0]",[24. 16.],174.80839999999998,199.96241172413792
"[96.0, 65.0]",[24.   16.25],203.8055,198.74866052631577
"[96.0, 66.0]",[24.  16.5],183.8075,197.50452452830186
"[96.0, 67.0]",[24.   16.75],163.39659999999998,196.1622517857143
"[97.0, 68.0]",[24.25 17.  ],176.8082,195.60168218390805
"[97.0, 69.0]",[24.25 17.25],170.8088,194.84308379888267
"[97.0, 70.0]",[24.25 17.5 ],158.3971,194.03108749999998
"[97.0, 71.0]",[24.25 17.75],181.80769999999998,193.28038691099476
"[97.0, 72.0]",[24.25 18.  ],183.8075,192.3341101010101
"[97.0, 73.0]",[24.25 18.25],157.3972,191.5784243902439
"[97.0, 74.0]",[24.25 18.5 ],173.80849999999998,190.475329245283
"[97.0, 75.0]",[24.25 18.75],160.39690000000002,189.529500913242
"[97.0, 76.0]",[24.25 19.  ],159.397,188.4900092920354
"[97.0, 77.0]",[24.25 19.25],159.397,187.46754291845494
"[97.0, 78.0]",[24.25 19.5 ],164.3965,186.52545371900823
"[97.0, 79.0]",[24.25 19.75],163.39659999999998,185.5636815261044
"[97.0, 80.0]",[24.25 20.  ],151.3978,184.726424609375
"[97.0, 81.0]",[24.25 20.25],173.80849999999998,184.2580927203065
"[97.0, 82.0]",[24.25 20.5 ],156.3973,183.7777425925926
"[97.0, 83.0]",[24.25 20.75],160.39690000000002,183.89549032258063
"[98.0, 84.0]",[24.5 21. ],165.3964,183.62250104529616
"[98.0, 85.0]",[24.5  21.25],167.3962,183.5293266211604
"[98.0, 86.0]",[24.5 21.5],168.809,183.54777299999998
"[98.0, 87.0]",[24.5  21.75],175.80829999999997,183.27216166134187
"[98.0, 88.0]",[24.5 22. ],181.80769999999998,183.08710434782608
"[98.0, 89.0]",[24.5  22.25],187.8071,182.76799491017962
"[99.0, 90.0]",[24.75 22.5 ],183.8075,181.94248757225432
"[99.0, 91.0]",[24.75 22.75],184.8074,181.38613361581923
"[99.0, 92.0]",[24.75 23.  ],150.3979,180.7037942465753
"[99.0, 93.0]",[24.75 23.25],190.8068,180.08797207446807
"[99.0, 94.0]",[24.75 23.5 ],169.8089,179.26311211340206
"[100.0, 95.0]",[25.   23.75],169.8089,178.96052386934667
"[100.0, 96.0]",[25. 24.],211.8047,178.8957925742574
"[100.0, 97.0]",[25.   24.25],176.8082,178.5567731234867
"[100.0, 98.0]",[25.  24.5],179.80790000000002,178.14356682464452
"[100.0, 99.0]",[25.   24.75],169.8089,177.6538612529002
"[100.0, 100.0]",[25. 25.],188.807,177.00505727272727
"[101.0, 101.0]",[25.25 25.25],178.808,176.67902283813748
"[101.0, 102.0]",[25.25 25.5 ],163.39659999999998,176.67891181619254
"[101.0, 103.0]",[25.25 25.75],177.8081,176.6101239224138
"[101.0, 104.0]",[25.25 26.  ],189.80689999999998,176.6804590618337
"[101.0, 105.0]",[25.25 26.25],190.8068,176.74545864978901
"[101.0, 106.0]",[25.25 26.5 ],205.80530000000002,176.40405817805384
"[102.0, 107.0]",[25.5  26.75],187.8071,176.43186564417178
"[102.0, 108.0]",[25.5 27. ],188.807,176.43365060728746
"[102.0, 109.0]",[25.5  27.25],169.8089,176.43374488977955
"[102.0, 110.0]",[25.5 27.5],185.8073,176.4397890873016
"[102.0, 111.0]",[25.5  27.75],183.8075,176.4746818540434
"[102.0, 112.0]",[25.5 28. ],168.3961,176.54629140625
"[102.0, 113.0]",[25.5  28.25],181.80769999999998,176.5248172147002
"[102.0, 114.0]",[25.5 28.5],181.80769999999998,176.45811551724137
"[102.0, 115.0]",[25.5  28.75],189.80689999999998,176.31878830188677
"[103.0, 116.0]",[25.75 29.  ],174.80839999999998,176.26737940074904
"[103.0, 117.0]",[25.75 29.25],170.8088,176.22526022304834
"[103.0, 118.0]",[25.75 29.5 ],159.397,176.01872899082568
"[103.0, 119.0]",[25.75 29.75],169.8089,175.8101970909091
"[103.0, 120.0]",[25.75 30.  ],154.39749999999998,175.62524036036038
"[103.0, 121.0]",[25.75 30.25],161.39679999999998,175.19893238434165
"[103.0, 122.0]",[25.75 30.5 ],135.39939999999999,174.7715381370826
"[103.0, 123.0]",[25.75 30.75],149.398,174.0670920415225
"[103.0, 124.0]",[25.75 31.  ],151.3978,173.53361743589744
"[103.0, 125.0]",[25.75 31.25],162.39669999999998,173.30944118644067
"[103.0, 126.0]",[25.75 31.5 ],163.39659999999998,172.88503333333333
"[104.0, 127.0]",[26.   31.75],162.39669999999998,172.6979448675497
"[104.0, 128.0]",[26. 32.],172.8086,172.5291293442623
"[104.0, 129.0]",[26.   32.25],175.80829999999997,172.24468265802267
"[104.0, 130.0]",[26.  32.5],170.8088,171.8778238782051
"[104.0, 131.0]",[26.   32.75],174.80839999999998,171.50959683042788
"[104.0, 132.0]",[26. 33.],155.39739999999998,171.47816703470033
"[104.0, 133.0]",[26.   33.25],143.3986,171.30539577464788
"[104.0, 134.0]",[26.  33.5],142.3987,171.09713245341615
"[104.0, 135.0]",[26.   33.75],170.8088,170.9499876733436
"[104.0, 136.0]",[26. 34.],147.3982,170.80662171253823
"[104.0, 137.0]",[26.   34.25],166.3963,170.63267723823975
"[104.0, 138.0]",[26.  34.5],163.39659999999998,170.41856611445783
"[104.0, 139.0]",[26.   34.75],151.3978,170.2345585949178
"[104.0, 140.0]",[26. 35.],156.3973,170.07850118694364
"[104.0, 141.0]",[26.   35.25],148.39809999999997,169.9129612665685
"[104.0, 142.0]",[26.  35.5],146.3983,169.73376125730994
"[104.0, 143.0]",[26.   35.75],153.3976,169.63117503628447
"[104.0, 144.0]",[26. 36.],154.39749999999998,169.51133688760805
"[104.0, 145.0]",[26.   36.25],155.39739999999998,169.37747796852645
"[104.0, 146.0]",[26.  36.5],151.3978,169.28161477272727
"[104.0, 147.0]",[26.   36.75],168.809,169.10754471086037
"[104.0, 148.0]",[26. 37.],152.3977,168.93731302521007
"[104.0, 149.0]",[26.   37.25],144.39849999999998,168.84291293463144
"[104.0, 150.0]",[26.  37.5],172.8086,168.7561517955801
"[104.0, 151.0]",[26.   37.75],166.3963,168.46855729877217
"[104.0, 152.0]",[26. 38.],163.39659999999998,168.25764013513515
"[104.0, 153.0]",[26.   38.25],171.8087,168.02870629183397
"[104.0, 154.0]",[26.  38.5],168.809,167.79263567639256
"[104.0, 155.0]",[26.   38.75],162.39669999999998,167.51754835742443
"[104.0, 156.0]",[26. 39.],169.8089,167.23001263020834
"[104.0, 157.0]",[26.   39.25],152.3977,166.89811096774193
"[104.0, 158.0]",[26.  39.5],148.39809999999997,166.70079448717948
"[104.0, 159.0]",[26.   39.75],157.3972,166.49760127388535
"[104.0, 160.0]",[26. 40.],148.39809999999997,166.34686493670887
"[104.0, 161.0]",[26.   40.25],156.3973,166.1215217610063
"[104.0, 162.0]",[26.  40.5],139.399,165.88024725
"[104.0, 163.0]",[26.   40.75],151.3978,165.64321204968945
"[104.0, 164.0]",[26. 41.],144.39849999999998,165.43872987654325
"[104.0, 165.0]",[26.   41.25],159.397,165.1876818404908
"[104.0, 166.0]",[26.  41.5],135.39939999999999,164.95605097560977
"[104.0, 167.0]",[26.   41.75],140.3989,164.7303632727273
"[104.0, 168.0]",[26. 42.],157.3972,164.51100879518071
"[104.0, 169.0]",[26.   42.25],151.3978,164.32421844311378
"[104.0, 170.0]",[26.  42.5],158.3971,164.16345892857146
"[104.0, 171.0]",[26.   42.75],159.397,163.9968073372781
"[104.0, 172.0]",[26. 43.],149.398,163.93926497641507
"[104.0, 173.0]",[26.   43.25],161.39679999999998,163.84805417156286
"[104.0, 174.0]",[26.  43.5],148.39809999999997,163.7282131147541
"[104.0, 175.0]",[26.   43.75],138.3991,163.63371271878648
"[104.0, 176.0]",[26. 44.],145.3984,163.54103430232558
"[104.0, 177.0]",[26.   44.25],144.39849999999998,163.46522108922363
"[104.0, 178.0]",[26.  44.5],141.3988,163.41648937644342
"[104.0, 179.0]",[26.   44.75],163.39659999999998,163.34047894131186
"[104.0, 180.0]",[26. 45.],137.3992,163.287925
"[104.0, 181.0]",[26.   45.25],167.3962,163.31733805714288
"[104.0, 182.0]",[26.  45.5],162.39669999999998,163.3504369020501
"[104.0, 183.0]",[26.   45.75],183.8075,163.37309568671964
"[104.0, 184.0]",[26. 46.],179.80790000000002,163.40691176470588
"[104.0, 185.0]",[26.   46.25],182.80759999999998,163.44049909808345
"[104.0, 186.0]",[26.  46.5],190.8068,163.5417329213483
"[104.0, 187.0]",[26.   46.75],202.8056,163.6254909294513
"[104.0, 188.0]",[26. 47.],198.806,163.68925591517856
"[104.0, 189.0]",[26.   47.25],198.806,163.77701569060773
"[104.0, 190.0]",[26.  47.5],206.80519999999999,163.83232505494507
"[104.0, 191.0]",[26.   47.75],194.8064,163.88321975982532
"[103.0, 192.0]",[25.75 48.  ],168.809,163.65231008676793
"[103.0, 193.0]",[25.75 48.25],163.39659999999998,163.60220420711974
"[103.0, 194.0]",[25.75 48.5 ],175.80829999999997,163.56980160944207
"[103.0, 195.0]",[25.75 48.75],195.8063,163.52343148345787
"[103.0, 196.0]",[25.75 49.  ],175.80829999999997,163.50028269639068
"[103.0, 197.0]",[25.75 49.25],171.8087,163.45899271383317
"[103.0, 198.0]",[25.75 49.5 ],163.39659999999998,163.4901882105263
"[103.0, 199.0]",[25.75 49.75],185.8073,163.49579801047122
"[103.0, 200.0]",[25.75 50.  ],167.3962,163.44830332640336
"[103.0, 201.0]",[25.75 50.25],161.39679999999998,163.41598128231647
"[103.0, 202.0]",[25.75 50.5 ],157.3972,163.4080767489712
"[103.0, 203.0]",[25.75 50.75],176.8082,163.42626171954967
"[103.0, 204.0]",[25.75 51.  ],168.3961,163.43671344195522
"[103.0, 205.0]",[25.75 51.25],168.3961,163.42054305977712
"[103.0, 206.0]",[25.75 51.5 ],175.80829999999997,163.45694979838711
"[103.0, 207.0]",[25.75 51.75],181.80769999999998,163.4685074222668
"[103.0, 208.0]",[25.75 52.  ],156.3973,163.47096856287425
"[103.0, 209.0]",[25.75 52.25],181.80769999999998,163.44875441906652
"[103.0, 210.0]",[25.75 52.5 ],168.3961,163.43210800395258
"[103.0, 211.0]",[25.75 52.75],163.39659999999998,163.36704316617502
"[103.0, 212.0]",[25.75 53.  ],155.39739999999998,163.29967984344424
"[103.0, 213.0]",[25.75 53.25],163.39659999999998,163.20084323271666
"[103.0, 214.0]",[25.75 53.5 ],155.39739999999998,163.08649312015504
"[103.0, 215.0]",[25.75 53.75],152.3977,162.97228148505303
"[103.0, 216.0]",[25.75 54.  ],153.3976,162.9040999040307
"[103.0, 217.0]",[25.75 54.25],168.809,162.79949025787965
"[103.0, 218.0]",[25.75 54.5 ],148.39809999999997,162.7063302281369
"[103.0, 219.0]",[25.75 54.75],153.3976,162.61822611163674
"[103.0, 220.0]",[25.75 55.  ],155.39739999999998,162.5840298113208
"[103.0, 221.0]",[25.75 55.25],175.80829999999997,162.40193795688847
"[103.0, 222.0]",[25.75 55.5 ],154.39749999999998,162.2610694029851
"[103.0, 223.0]",[25.75 55.75],147.3982,162.16607260909936
"[103.0, 224.0]",[25.75 56.  ],150.3979,162.01997518450185
"[102.0, 225.0]",[25.5  56.25],146.3983,161.52230320806603
"[102.0, 226.0]",[25.5 56.5],152.3977,161.2255425706472
"[102.0, 227.0]",[25.5  56.75],120.4009,160.94420570652173
"[102.0, 228.0]",[25.5 57. ],155.39739999999998,160.61421404140415
"[102.0, 229.0]",[25.5  57.25],139.399,160.32055178890877
"[102.0, 230.0]",[25.5 57.5],162.39669999999998,160.01632320000002
"[102.0, 231.0]",[25.5  57.75],138.3991,159.7326399293286
"[102.0, 232.0]",[25.5 58. ],160.39690000000002,159.41557278314312
"[102.0, 233.0]",[25.5  58.25],143.3986,159.20273933566435
"[102.0, 234.0]",[25.5 58.5],128.40009999999998,159.02308668407312
"[102.0, 235.0]",[25.5  58.75],131.3998,158.8293944540728
"[102.0, 236.0]",[25.5 59. ],121.4008,158.6520397756687
"[102.0, 237.0]",[25.5  59.25],136.3993,158.46504149484537
"[102.0, 238.0]",[25.5 59.5],122.4007,158.2745107784431
