,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[168 433],[740 187],[62.536752],41.91401166906811,0,73.75644222776393,25,132,88729,4612.488336,8.070656691604322
Spine: 1,0,[297 552],[257 707],[45.434016],63.27949261347722,0,47.89359267734554,15,75,41859,2175.9982560000003,9.0
Spine: 2,0,[310 414],[729 299],[89.620416],73.96355308733456,0,66.54060324825986,16,117,114716,5963.396544,8.93155452436195
Spine: 3,0,[427 525],[395 643],[92.2716],93.1860169960393,0,47.4856338028169,16,101,84287,4381.575408000001,9.0
Spine: 4,0,[469 414],[655 423],[60.613344000000005],110.79636728060561,0,59.19554030874786,16,93,69022,3588.039648,158.54428202923475
Spine: 5,0,[569 360],[804 595],[48.812976],129.23640684730202,0,49.191693290734825,15,82,46191,2401.192944,8.60702875399361
Spine: 6,0,[675 577],[703 754],[55.207008],152.79471129701926,0,42.68926553672316,14,69,45336,2356.746624,14.789077212806026
Spine: 7,0,[779 384],[373 806],[75.532752],170.84712759305944,0,50.86510667584308,14,83,73907,3841.9814880000004,9.0
Spine: 8,0,[848 589],[818 813],[62.172864000000004],194.9428802264073,0,42.23494983277592,15,66,50513,2625.867792,8.102006688963211
Spine: 9,0,[913 424],[734 943],[58.533984000000004],210.3899108059831,0,57.10923623445826,14,97,64305,3342.8311200000003,8.433777777777777
Spine: 10,0,[958 582],[996 816],[76.520448],214.71122663669044,0,53.25339673913044,15,83,78389,4074.9737760000003,17.45516304347826
