Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[82.0, 63.0]",[4.1  3.15],194.8064,nan
"[82.0, 63.0]",[4.1  3.15],194.8064,199.80589999999998
"[82.0, 64.0]",[4.1 3.2],202.8056,196.05627499999997
"[82.0, 65.0]",[4.1  3.25],184.8074,194.8064
"[82.0, 66.0]",[4.1 3.3],189.80689999999998,192.97325
"[82.0, 67.0]",[4.1  3.35],183.8075,190.13025
"[83.0, 68.0]",[4.15 3.4 ],195.8063,189.96559
"[83.0, 69.0]",[4.15 3.45],187.8071,189.86026363636364
"[83.0, 70.0]",[4.15 3.5 ],188.807,190.60574166666666
"[83.0, 71.0]",[4.15 3.55],198.806,190.69812307692308
"[83.0, 72.0]",[4.15 3.6 ],191.8067,190.49162142857145
"[83.0, 73.0]",[4.15 3.65],187.8071,190.31265333333334
"[83.0, 74.0]",[4.15 3.7 ],187.8071,190.40603125
"[83.0, 75.0]",[4.15 3.75],191.8067,189.9276722222222
"[84.0, 76.0]",[4.2 3.8],206.80519999999999,190.515535
"[84.0, 77.0]",[4.2  3.85],187.8071,191.4340761904762
"[84.0, 78.0]",[4.2 3.9],209.8049,191.99641363636366
"[84.0, 79.0]",[4.2  3.95],203.8055,192.29248260869565
"[84.0, 80.0]",[4.2 4. ],198.806,192.9388416666667
"[84.0, 81.0]",[4.2  4.05],207.80509999999998,193.09353600000003
"[84.0, 82.0]",[4.2 4.1],196.8062,194.15931538461538
"[84.0, 83.0]",[4.2  4.15],220.8038,195.66967500000004
"[85.0, 84.0]",[4.25 4.2 ],232.80259999999998,197.87856333333335
"[85.0, 85.0]",[4.25 4.25],243.8015,197.87856333333335
"[85.0, 85.0]",[4.25 4.25],243.8015,199.26318387096774
"[85.0, 87.0]",[4.25 4.35],248.801,202.05337575757576
"[85.0, 88.0]",[4.25 4.4 ],241.80169999999998,203.22244411764706
"[85.0, 89.0]",[4.25 4.45],241.80169999999998,203.22244411764706
"[85.0, 89.0]",[4.25 4.45],241.80169999999998,204.18186571428572
"[85.0, 91.0]",[4.25 4.55],215.80429999999998,204.94522702702704
"[85.0, 92.0]",[4.25 4.6 ],220.8038,205.3888710526316
"[85.0, 93.0]",[4.25 4.65],221.8037,205.37391025641026
"[85.0, 94.0]",[4.25 4.7 ],204.8054,205.34617804878047
"[86.0, 95.0]",[4.3  4.75],201.80569999999997,205.228011627907
"[86.0, 96.0]",[4.3 4.8],200.80579999999998,204.8093568181818
"[86.0, 97.0]",[4.3  4.85],186.80719999999997,204.7648288888889
"[86.0, 98.0]",[4.3 4.9],202.8056,204.89613260869564
"[86.0, 99.0]",[4.3  4.95],210.8048,204.93675106382977
"[86.0, 100.0]",[4.3 5. ],206.80519999999999,205.18398958333333
"[86.0, 101.0]",[4.3  5.05],216.8042,205.1150448979592
"[86.0, 102.0]",[4.3 5.1],201.80569999999997,205.16884599999997
"[86.0, 103.0]",[4.3  5.15],207.80509999999998,205.08329607843137
"[86.0, 104.0]",[4.3 5.2],200.80579999999998,204.98180769230768
"[86.0, 105.0]",[4.3  5.25],199.80589999999998,204.88414905660377
"[86.0, 106.0]",[4.3 5.3],199.80589999999998,204.6975240740741
"[86.0, 107.0]",[4.3  5.35],194.8064,204.37224545454546
"[86.0, 108.0]",[4.3 5.4],186.80719999999997,203.71195892857142
"[86.0, 109.0]",[4.3  5.45],167.3962,201.86735245901642
"[87.0, 110.0]",[4.35 5.5 ],182.80759999999998,201.46317258064516
"[87.0, 111.0]",[4.35 5.55],176.8082,200.99246666666667
"[87.0, 112.0]",[4.35 5.6 ],171.8087,200.7551984375
"[87.0, 113.0]",[4.35 5.65],185.8073,200.4483153846154
"[87.0, 114.0]",[4.35 5.7 ],180.8078,200.10528181818185
"[87.0, 115.0]",[4.35 5.75],177.8081,199.80233582089554
"[87.0, 116.0]",[4.35 5.8 ],179.80790000000002,199.2522529411765
"[87.0, 117.0]",[4.35 5.85],162.39669999999998,198.94146811594203
"[87.0, 118.0]",[4.35 5.9 ],177.8081,198.39083142857143
"[87.0, 119.0]",[4.35 5.95],160.39690000000002,197.57726666666665
"[88.0, 120.0]",[4.4 6. ],181.80769999999998,196.96189189189187
"[88.0, 121.0]",[4.4  6.05],173.80849999999998,196.63984799999997
"[88.0, 122.0]",[4.4 6.1],172.8086,196.18928026315788
"[88.0, 123.0]",[4.4  6.15],162.39669999999998,195.88563506493503
"[88.0, 124.0]",[4.4 6.2],172.8086,195.49474743589744
"[88.0, 125.0]",[4.4  6.25],165.3964,195.3341506329114
"[88.0, 126.0]",[4.4 6.3],182.80759999999998,194.7234888888889
