Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[77.0, 46.0]",[3.85 2.3 ],95.4034,93.07030000000002
"[77.0, 47.0]",[3.85 2.35],97.4032,95.653375
"[76.0, 48.0]",[3.8 2.4],84.4045,93.69102222222222
"[76.0, 49.0]",[3.8  2.45],77.9922,81.01524615384616
"[75.0, 50.0]",[3.75 2.5 ],32.9967,74.67943333333332
"[75.0, 51.0]",[3.75 2.55],45.9954,70.45426111111111
"[75.0, 52.0]",[3.75 2.6 ],55.9944,67.55249545454545
"[74.0, 53.0]",[3.7  2.65],61.99379999999999,66.25602083333332
"[74.0, 54.0]",[3.7 2.7],61.99379999999999,65.33804074074074
"[74.0, 55.0]",[3.7  2.75],60.9939,63.74535161290323
"[73.0, 56.0]",[3.65 2.8 ],59.994,63.396796969696965
"[73.0, 57.0]",[3.65 2.85],65.9934,62.44663055555556
"[73.0, 58.0]",[3.65 2.9 ],44.9955,60.1515725
"[72.0, 59.0]",[3.6  2.95],46.99529999999999,59.57269761904761
"[72.0, 60.0]",[3.6 3. ],45.9954,58.84530444444444
"[72.0, 61.0]",[3.6  3.05],60.9939,59.00029387755102
"[71.0, 62.0]",[3.55 3.1 ],72.9927,59.235321568627455
"[71.0, 63.0]",[3.55 3.15],68.9931,59.11082037037036
"[71.0, 64.0]",[3.55 3.2 ],52.9947,57.98219310344827
"[70.0, 65.0]",[3.5  3.25],45.9954,57.58263333333333
"[70.0, 66.0]",[3.5 3.3],44.9955,57.04673174603174
"[70.0, 67.0]",[3.5  3.35],45.9954,56.832248484848485
"[70.0, 68.0]",[3.5 3.4],61.99379999999999,56.52725428571428
"[69.0, 69.0]",[3.45 3.45],55.9944,56.48467777777777
"[69.0, 70.0]",[3.45 3.5 ],49.995000000000005,56.31841466666666
"[69.0, 71.0]",[3.45 3.55],56.994299999999996,56.126483333333326
"[69.0, 72.0]",[3.45 3.6 ],47.995200000000004,55.590780246913575
"[69.0, 73.0]",[3.45 3.65],49.995000000000005,55.16276
"[68.0, 74.0]",[3.4 3.7],63.993599999999994,55.319795402298844
"[68.0, 75.0]",[3.4  3.75],64.9935,55.46449222222222
"[68.0, 76.0]",[3.4 3.8],66.9933,55.943905376344084
"[68.0, 77.0]",[3.4  3.85],77.9922,56.470565625
"[68.0, 78.0]",[3.4 3.9],86.4043,57.11680707070706
"[68.0, 79.0]",[3.4  3.95],95.4034,57.76424607843137
"[68.0, 80.0]",[3.4 4. ],89.404,58.33659714285714
"[68.0, 81.0]",[3.4  4.05],88.4041,58.715936111111105
"[68.0, 82.0]",[3.4 4.1],76.9923,59.39377387387387
"[68.0, 83.0]",[3.4  4.15],94.4035,59.99570263157894
"[68.0, 84.0]",[3.4 4.2],90.4039,60.481301709401706
"[68.0, 85.0]",[3.4  4.25],84.4045,60.8475225
"[68.0, 86.0]",[3.4 4.3],72.9927,61.13561707317073
"[68.0, 87.0]",[3.4  4.35],78.9921,61.15605
"[68.0, 88.0]",[3.4 4.4],66.9933,61.21428837209302
"[68.0, 89.0]",[3.4  4.45],59.994,61.156254545454544
"[68.0, 90.0]",[3.4 4.5],57.9942,60.96747999999999
"[68.0, 91.0]",[3.4  4.55],47.995200000000004,60.736193478260866
"[68.0, 92.0]",[3.4 4.6],50.9949,60.51474893617021
"[68.0, 93.0]",[3.4  4.65],54.9945,60.26781249999999
"[68.0, 94.0]",[3.4 4.7],54.9945,60.153391836734684
"[68.0, 95.0]",[3.4  4.75],59.994,60.116874
"[68.0, 96.0]",[3.4 4.8],57.9942,60.134070588235296
"[68.0, 97.0]",[3.4  4.85],69.993,60.06087115384614
"[68.0, 98.0]",[3.4 4.9],66.9933,60.05332075471698
"[68.0, 99.0]",[3.4  4.95],57.9942,60.00901666666667
"[68.0, 100.0]",[3.4 5. ],63.993599999999994,60.05116363636363
"[68.0, 101.0]",[3.4  5.05],66.9933,60.01443214285713
"[68.0, 102.0]",[3.4 5.1],61.99379999999999,59.96144736842105
"[68.0, 103.0]",[3.4  5.15],57.9942,59.89305
"[68.0, 104.0]",[3.4 5.2],64.9935,59.764830508474574
"[68.0, 105.0]",[3.4  5.25],52.9947,59.746430000000004
"[68.0, 106.0]",[3.4 5.3],66.9933,59.7778081967213
"[68.0, 107.0]",[3.4  5.35],65.9934,59.53938387096773
"[68.0, 108.0]",[3.4 5.4],45.9954,59.287366666666664
"[68.0, 109.0]",[3.4  5.45],47.995200000000004,59.0276015625
"[68.0, 110.0]",[3.4 5.5],46.99529999999999,58.683530769230764
"[68.0, 111.0]",[3.4  5.55],33.9966,58.349886363636365
"[68.0, 112.0]",[3.4 5.6],38.9961,58.056049253731345
"[68.0, 113.0]",[3.4  5.65],36.996300000000005,57.868883823529416
"[68.0, 114.0]",[3.4 5.7],45.9954,57.68714347826087
"[68.0, 115.0]",[3.4  5.75],48.9951,57.653438571428566
"[68.0, 116.0]",[3.4 5.8],61.99379999999999,57.75212535211268
"[68.0, 117.0]",[3.4  5.85],69.993,57.94065416666667
"[68.0, 118.0]",[3.4 5.9],83.99159999999999,58.08749178082192
"[68.0, 119.0]",[3.4  5.95],62.9937,58.33845810810811
"[68.0, 120.0]",[3.4 6. ],79.992,58.542736000000005
"[68.0, 121.0]",[3.4  6.05],73.99260000000001,58.574988157894744
"[68.0, 122.0]",[3.4 6.1],63.993599999999994,58.78387402597402
"[68.0, 123.0]",[3.4  6.15],82.9917,58.93789145299145
"[68.0, 124.0]",[3.4 6.2],65.9934,59.014544725738396
"[68.0, 125.0]",[3.4  6.25],74.99249999999999,59.143442916666665
"[68.0, 126.0]",[3.4 6.3],77.9922,59.330880658436215
"[68.0, 127.0]",[3.4  6.35],80.99189999999999,59.460906504065036
"[68.0, 128.0]",[3.4 6.4],76.9923,59.60386184738956
"[68.0, 129.0]",[3.4  6.45],81.9918,59.65215277777777
"[68.0, 130.0]",[3.4 6.5],56.994299999999996,59.70045859375
"[69.0, 131.0]",[3.45 6.55],65.9934,59.67948062015504
"[69.0, 132.0]",[3.45 6.6 ],59.994,59.709913026819926
"[69.0, 133.0]",[3.45 6.65],52.9947,59.65254128787878
"[69.0, 134.0]",[3.45 6.7 ],57.9942,59.67135767790262
"[69.0, 135.0]",[3.45 6.75],63.993599999999994,59.64531592592593
"[69.0, 136.0]",[3.45 6.8 ],61.99379999999999,59.79423467153284
"[70.0, 137.0]",[3.5  6.85],84.4045,59.83191050724638
