Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[67.0, 20.0]",[16.75  5.  ],168.3961,nan
"[67.0, 20.0]",[16.75  5.  ],168.3961,166.5089090909091
"[68.0, 21.0]",[17.    5.25],156.3973,164.7410979166667
"[68.0, 22.0]",[17.   5.5],158.3971,163.82882295081964
"[69.0, 22.0]",[17.25  5.5 ],170.8088,160.95132676056338
"[69.0, 23.0]",[17.25  5.75],177.8081,160.67258354430382
"[70.0, 24.0]",[17.5  6. ],167.3962,159.89910666666668
"[70.0, 25.0]",[17.5   6.25],144.39849999999998,159.153095
"[71.0, 26.0]",[17.75  6.5 ],158.3971,158.57372252252253
"[71.0, 27.0]",[17.75  6.75],159.397,157.94276528925616
"[72.0, 28.0]",[18.  7.],169.8089,157.42042846153842
"[73.0, 29.0]",[18.25  7.25],148.39809999999997,158.04518951048948
"[73.0, 30.0]",[18.25  7.5 ],163.39659999999998,158.3743597402597
"[74.0, 31.0]",[18.5   7.75],149.398,159.13667239263802
"[75.0, 32.0]",[18.75  8.  ],173.80849999999998,158.2598297142857
"[75.0, 33.0]",[18.75  8.25],174.80839999999998,158.7261752688172
"[76.0, 34.0]",[19.   8.5],161.39679999999998,157.9849683673469
"[76.0, 35.0]",[19.    8.75],149.398,157.46133980582522
"[77.0, 36.0]",[19.25  9.  ],140.3989,157.22611999999995
"[78.0, 37.0]",[19.5   9.25],152.3977,156.42026740088104
"[78.0, 38.0]",[19.5  9.5],147.3982,156.38066302521005
"[79.0, 39.0]",[19.75  9.75],149.398,155.64350443548386
"[79.0, 40.0]",[19.75 10.  ],160.39690000000002,155.17277131782944
"[80.0, 41.0]",[20.   10.25],138.3991,154.5062531835206
"[81.0, 42.0]",[20.25 10.5 ],142.3987,153.26155627240144
"[81.0, 43.0]",[20.25 10.75],146.3983,152.39094206896553
"[82.0, 44.0]",[20.5 11. ],122.4007,151.31127533333333
"[82.0, 45.0]",[20.5  11.25],107.4022,150.29803903225806
"[83.0, 46.0]",[20.75 11.5 ],116.40129999999999,149.38250156249998
