Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[101.0, 127.0]",[5.05 6.35],124.4005,122.40069999999999
"[101.0, 128.0]",[5.05 6.4 ],112.4017,125.650375
"[101.0, 129.0]",[5.05 6.45],135.39939999999999,127.4002
"[101.0, 130.0]",[5.05 6.5 ],134.3995,128.7334
"[101.0, 131.0]",[5.05 6.55],135.39939999999999,130.149925
"[102.0, 132.0]",[5.1 6.6],138.3991,128.90005000000002
"[102.0, 133.0]",[5.1  6.65],121.4008,130.1272
"[102.0, 134.0]",[5.1 6.7],142.3987,129.81662500000002
"[102.0, 135.0]",[5.1  6.75],126.40029999999999,131.32837857142857
"[103.0, 136.0]",[5.15 6.8 ],163.39659999999998,132.149725
"[103.0, 137.0]",[5.15 6.85],136.3993,132.34088235294118
"[103.0, 138.0]",[5.15 6.9 ],135.39939999999999,131.8442
"[103.0, 139.0]",[5.15 6.95],123.4006,130.149925
"[104.0, 140.0]",[5.2 7. ],136.3993,129.35455
"[104.0, 141.0]",[5.2  7.05],116.40129999999999,128.6174695652174
"[104.0, 142.0]",[5.2 7.1],112.4017,127.1918875
"[104.0, 143.0]",[5.2  7.15],94.4035,125.72036800000002
"[104.0, 144.0]",[5.2 7.2],90.4039,122.42244074074073
"[105.0, 145.0]",[5.25 7.25],95.4034,121.24864482758619
"[105.0, 146.0]",[5.25 7.3 ],99.403,120.22048666666666
"[105.0, 147.0]",[5.25 7.35],90.4039,118.82602903225806
"[105.0, 148.0]",[5.25 7.4 ],76.9923,116.39406363636363
"[106.0, 149.0]",[5.3  7.45],114.4015,116.6230257142857
"[106.0, 150.0]",[5.3 7.5],126.40029999999999,116.39466666666665
"[106.0, 151.0]",[5.3  7.55],108.4021,116.20567567567566
"[106.0, 152.0]",[5.3 7.6],109.402,115.61543589743589
"[107.0, 153.0]",[5.35 7.65],142.3987,116.92193658536586
"[107.0, 154.0]",[5.35 7.7 ],140.3989,117.31426190476189
"[107.0, 155.0]",[5.35 7.75],133.3996,117.99063488372092
"[107.0, 156.0]",[5.35 7.8 ],146.3983,119.07543777777778
