,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 20 258],[ 12 248],[0.21780000000000002],1.3538242051235385,0,48.20040800000001,19,83,2410,10.498048862400003,5.710714
Spine: 1,0,[ 56 251],[ 67 265],[0.28749600000000003],4.137803833391435,0,43.308868181818184,8,99,2858,12.4511263668,2.83195
Spine: 2,0,[ 56 228],[ 46 212],[0.43995600000000007],4.38701286395543,0,43.37928910891089,17,85,4381,19.0849785192,3.666738613861386
Spine: 3,0,[ 64 240],[ 69 248],[0.296208],4.432288490433051,0,53.10054705882353,19,104,3610,15.728806843200001,7.032201470588236
Spine: 4,0,[ 84 254],[106 303],[0.47916000000000003],5.309026876307064,0,38.27156272727273,14,77,4209,18.338201996400002,2.218995454545454
Spine: 5,0,[ 78 213],[ 68 188],[0.4878720000000001],6.014061234511878,0,28.585846428571426,6,55,3201,13.9462340688,2.1132053571428573
Spine: 6,0,[100 210],[ 97 183],[0.35719200000000007],7.244828578427246,0,41.42802560975609,18,84,3397,14.797759323600001,2.1969646341463416
Spine: 7,0,[120 217],[117 207],[0.46173600000000004],8.553792521505635,0,53.30627452830189,11,179,5650,24.613425975600006,8.662049056603774
Spine: 8,0,[151 200],[145 170],[0.35719200000000007],10.776706987588152,0,69.52937195121952,25,121,5701,24.835335426000004,2.2830548780487803
Spine: 9,0,[158 194],[150 155],[0.5052960000000001],11.307397249272078,0,21.145822413793102,3,38,2452,10.6848994824,1.3280206896551723
Spine: 10,0,[183 222],[183 238],[0.37026000000000003],12.697242275485277,0,53.25772941176471,20,96,4526,19.719206892000003,4.197889411764706
Spine: 11,0,[184 204],[184 184],[0.40075200000000005],12.763242275485275,0,43.36384673913044,20,78,3989,17.3781483084,3.614982608695652
Spine: 12,0,[196 204],[199 182],[0.405108],13.45104719410238,0,47.18479139784946,25,87,4388,19.1149364736,2.9410688172043007
Spine: 13,0,[199 230],[194 258],[0.39204000000000006],14.289346740135937,0,61.013754444444444,25,120,5491,23.919832292400002,2.8219766666666666
Spine: 14,0,[210 208],[212 190],[0.36154800000000004],14.410686263787548,0,22.284506024096387,7,46,1849,8.056918584000002,3.399846987951807
Spine: 15,0,[220 237],[217 275],[0.4225320000000001],15.226333091679896,0,46.48806288659794,20,84,4509,19.6426941876,2.3598329896907217
Spine: 16,0,[229 233],[229 263],[0.405108],15.749859136877266,0,34.507720430107526,11,65,3209,13.979353608,2.7118723404255314
Spine: 17,0,[259 208],[272 181],[0.43124400000000007],17.55351904357447,0,36.85785555555555,9,71,3648,15.894729061200001,2.301359595959596
Spine: 18,0,[262 233],[256 246],[0.30927600000000005],18.197059847813424,0,61.0199352112676,16,104,4332,18.8720014824,6.407205633802817
Spine: 19,0,[262 253],[242 300],[0.37461600000000006],18.687295540600843,0,35.51921046511628,13,68,3054,13.306064547600002,6.410196511627906
Spine: 20,0,[290 248],[285 277],[0.41382],20.093095037852404,0,29.742455789473684,9,56,2825,12.308023054800001,2.079562105263158
Spine: 21,0,[310 224],[319 200],[0.40075200000000005],20.96158364285625,0,62.234334782608684,30,117,5725,24.940534132799996,2.9150086956521735
Spine: 22,0,[316 218],[331 180],[0.40946400000000005],21.182189704610593,0,38.0859755319149,16,71,3580,15.594835885200002,20.041580851063827
Spine: 23,0,[311 250],[301 269],[0.592416],21.720731035720604,0,37.53265882352941,11,66,5104,22.234947609600002,2.631786029411765
Spine: 24,0,[340 253],[336 264],[0.313632],23.502657028929974,0,60.573287500000006,24,105,4361,18.997721305200002,5.1271
Spine: 25,0,[350 233],[360 202],[0.45738000000000006],23.711367354501085,0,24.598751428571422,6,47,2582,11.250976928399998,2.564825714285714
Spine: 26,0,[365 248],[380 230],[0.28314000000000006],24.707000067746133,0,64.34952153846153,18,131,4182,18.219923528400003,3.3245800000000005
Spine: 27,0,[355 271],[338 289],[0.396396],25.209909443984007,0,49.60164835164835,20,98,4513,19.661895,1.8579681318681318
Spine: 28,0,[387 265],[399 244],[0.45302400000000004],26.68203281695852,0,31.069865384615387,7,61,3231,14.075394696000002,2.1200086538461536
Spine: 29,0,[368 276],[360 288],[0.39204000000000006],27.08951345525712,0,35.40433888888889,11,68,3186,13.879917018000002,2.9213488888888888
Spine: 30,0,[384 291],[375 313],[0.34848],27.341340357984883,0,47.55200375,13,76,3804,16.5709222668,1.82502125
Spine: 31,0,[390 295],[379 320],[0.33541200000000004],27.733528912214815,0,30.37834805194805,6,55,2339,10.1892624768,1.661468831168831
Spine: 32,0,[409 304],[419 345],[0.514008],28.339292700543083,0,23.500005084745762,5,46,2773,12.079190613600002,6.920488983050848
Spine: 33,0,[402 279],[399 270],[0.45302400000000004],28.387314754300277,0,117.99469519230769,38,222,12271,53.45442879480001,29.857010576923074
Spine: 34,0,[401 294],[405 313],[0.37897200000000003],28.69145442809584,0,79.88770689655172,11,211,6950,30.275204058000003,5.600941379310345
Spine: 35,0,[416 272],[410 258],[0.41817600000000005],29.336390055028197,0,50.14042708333333,15,85,4813,20.967523236,3.143788541666666
Spine: 36,0,[452 275],[467 295],[0.41817600000000005],31.27886543655793,0,63.261694791666656,19,111,6073,26.454522481199998,2.3692187500000004
