,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[ 14 503],[ 22 502],[3.6495359999999994],0.9345930253735627,0,2221.8636363636365,716,4095,97762,8108.771327999999,220.25
Spine: 1,0,[  6 479],[ 10 472],[4.396031999999999],6.735949700533458,0,678.8679245283018,181,1668,35980,2984.3251199999995,550.622641509434
Spine: 2,0,[ 12 476],[ 10 472],[1.9906559999999998],8.151679417017863,0,1029.6666666666667,360,2183,24712,2049.7121279999997,285.0833333333333
Spine: 3,0,[ 14 461],[ 10 452],[5.1425279999999995],12.119223899318198,0,884.7096774193549,313,2183,54852,4549.6442879999995,264.758064516129
Spine: 4,0,[ 40 461],[ 65 471],[8.626176],15.238839221962792,0,1628.3846153846155,368,3562,169352,14046.732287999997,57.01923076923077
Spine: 5,0,[ 23 451],[ 12 446],[2.7371519999999996],15.957348022571196,0,1720.7878787878788,719,2718,56786,4710.057983999999,669.0909090909091
Spine: 6,0,[ 17 447],[ 10 436],[5.5572479999999995],16.335510549207196,0,1045.7611940298507,392,2319,70066,5811.554303999999,82.35820895522389
Spine: 7,0,[ 29 437],[ 17 432],[3.31776],20.47426300597298,0,1067.975,292,2518,42719,3543.2847359999996,99.425
Spine: 8,0,[ 49 432],[ 71 436],[4.230143999999999],23.294253344450528,0,1006.3725490196078,469,2490,51325,4257.100799999999,577.0196078431372
Spine: 9,0,[ 43 427],[ 52 428],[3.31776],24.32340235851208,0,865.8,350,1789,34632,2872.5166079999995,439.525
Spine: 10,0,[ 30 423],[ 12 420],[5.9719679999999995],24.84421835029544,0,1136.4722222222222,282,2502,81826,6786.975743999999,63.55555555555556
Spine: 11,0,[ 45 416],[ 54 417],[5.80608],27.525083083385663,0,2107.7285714285713,573,4095,147541,12237.640703999998,237.18571428571428
Spine: 12,0,[ 30 407],[ 10 402],[5.225471999999999],29.39895199650856,0,869.5714285714286,261,2328,54783,4543.921152,56.93650793650794
Spine: 13,0,[ 37 399],[ 24 394],[4.727808],31.61319203042836,0,1197.140350877193,444,2106,68237,5659.849727999999,92.91228070175438
Spine: 14,0,[ 57 403],[ 79 416],[5.059583999999999],33.30035589185804,0,981.327868852459,380,1894,59861,4965.1107839999995,67.32786885245902
Spine: 15,0,[ 49 382],[ 42 371],[5.308415999999999],37.7448024765148,0,1157.71875,366,2180,74094,6145.652735999999,649.84375
Spine: 16,0,[ 57 378],[ 53 368],[6.137855999999999],38.7820259194567,0,898.7972972972973,307,1907,66511,5516.688383999999,430.02702702702703
Spine: 17,0,[ 70 393],[ 79 417],[5.059583999999999],40.65383492828137,0,1430.950819672131,527,2706,87288,7240.015871999999,67.8688524590164
Spine: 18,0,[ 68 375],[ 64 367],[7.382015999999999],42.044321620551145,0,926.5280898876405,361,1647,82461,6839.645183999999,368.8426966292135
Spine: 19,0,[ 60 346],[ 34 282],[4.727808],43.00696625366098,0,874.5263157894736,299,2170,49848,4134.592511999999,68.40350877192982
Spine: 20,0,[ 80 366],[ 76 344],[5.308415999999999],45.62581353004264,0,696.625,206,1683,44584,3697.9752959999996,65.46875
Spine: 21,0,[106 422],[137 502],[5.474303999999999],48.12100283933994,0,1581.469696969697,482,3301,104377,8657.445887999998,1289.6060606060605
Spine: 22,0,[101 384],[108 407],[7.464959999999999],50.29989992964563,0,1117.588888888889,471,2089,100583,8342.756351999999,171.98888888888888
Spine: 23,0,[ 94 348],[ 79 302],[4.727808],51.42213152880963,0,608.6491228070175,215,1467,34693,2877.5761919999995,54.228070175438596
Spine: 24,0,[121 373],[124 386],[3.8154239999999997],56.8796366358059,0,1530.304347826087,602,2814,70394,5838.7599359999995,104.3913043478261
