,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[74 72],[74 48],[0.5000000000000001],0.5,0,27.317268,8,47,1365,13.658634000000003,0.0
Spine: 1,0,[93 91],[ 91 102],[0.7300000000000001],1.48064661558338,0,55.76570410958905,9,126,4070,40.708964000000016,0.753349315068493
Spine: 2,0,[102  78],[102  62],[0.39000000000000007],2.31245154965971,0,23.946323076923075,2,60,933,9.339066,0.051276923076923074
Spine: 3,0,[106  94],[106 110],[0.5700000000000001],2.71245154965971,0,42.61701754385965,13,85,2429,24.291700000000006,0.07016842105263157
Spine: 4,0,[130  79],[130  65],[0.7500000000000001],5.11245154965971,0,32.690064,7,59,2451,24.517548000000005,0.19998
Spine: 5,0,[138  92],[138 104],[0.5000000000000001],5.9124515496597105,0,62.702388,9,136,3135,31.351194000000007,0.479952
Spine: 6,0,[140  78],[140  62],[0.6700000000000002],6.11245154965971,0,27.042071641791043,6,45,1811,18.118188000000004,0.08954328358208954
Spine: 7,0,[153  80],[153  68],[0.6000000000000001],7.4124515496597105,0,38.946105,10,65,2336,23.367663000000007,0.4332899999999999
Spine: 8,0,[162  77],[162  59],[0.4100000000000001],8.312451549659711,0,18.41279268292683,3,39,754,7.549245000000003,0.0
Spine: 9,0,[167  82],[167  73],[0.7600000000000001],8.787582239419118,0,56.83897500000001,9,133,4319,43.19762100000002,7.367684210526315
Spine: 10,0,[169 103],[167 135],[0.31000000000000005],9.110553360152204,0,27.997199999999996,8,55,867,8.679132000000001,0.8386258064516129
Spine: 11,0,[174  83],[174  75],[0.6400000000000001],9.492246502836764,0,59.940990625,12,137,3836,38.36223400000001,6.124387499999999
Spine: 12,0,[180  83],[180  74],[0.5700000000000001],10.091211126741761,0,33.11644035087719,10,111,1887,18.876371000000002,2.8242789473684202
Spine: 13,0,[185  82],[186  70],[0.37000000000000005],10.549406730581365,0,31.996799999999997,10,56,1183,11.838816000000001,0.3242918918918919
Spine: 14,0,[191  86],[191  80],[0.8100000000000002],11.192790921920889,0,71.49361975308642,10,179,5790,57.909832000000016,18.05992222222222
Spine: 15,0,[202  84],[203  71],[0.5200000000000001],12.283153136567428,0,43.207217307692304,13,79,2246,22.467753000000002,0.19228846153846152
Spine: 16,0,[233  90],[233  84],[1.2800000000000002],15.423949053037962,0,80.2599328125,13,159,10273,102.73271400000002,29.422158593749995
Spine: 17,0,[240  87],[240  74],[0.4300000000000001],16.09887824322365,0,39.41466279069766,10,70,1694,16.948304999999998,0.4418162790697674
Spine: 18,0,[265  89],[266  77],[0.9900000000000002],18.589828577728817,0,68.21866767676768,21,120,6753,67.53648100000002,1.1009
Spine: 19,0,[276 105],[273 122],[0.5400000000000001],19.872034015252478,0,23.746012962962965,4,84,1282,12.822847000000005,0.018516666666666664
Spine: 20,0,[282  91],[283  79],[0.5000000000000001],20.293752112855785,0,51.040966,8,116,2552,25.520483000000006,0.6599339999999999
Spine: 21,0,[297 105],[296 119],[0.6400000000000001],21.911362831640712,0,86.63258593750001,21,166,5544,55.44485500000002,0.281221875
Spine: 22,0,[310 105],[309 118],[0.5100000000000001],23.196825655238502,0,48.16482549019608,12,115,2456,24.564061000000006,0.4705411764705882
Spine: 23,0,[332 107],[332 123],[0.29000000000000004],25.37156636618404,0,28.41095172413793,5,62,823,8.239176000000002,0.1723965517241379
Spine: 24,0,[338  93],[338  81],[0.7900000000000001],25.97156636618404,0,61.46604936708861,16,125,4855,48.55817900000001,0.8859873417721519
Spine: 25,0,[350  91],[350  75],[0.7200000000000002],27.171566366184038,0,69.79311805555557,31,144,5025,50.25104500000001,0.16665
Spine: 26,0,[363 105],[362 115],[0.5400000000000001],28.49366576646548,0,73.96035925925926,12,181,3993,39.93859400000001,0.8332499999999998
Spine: 27,0,[393 108],[392 122],[0.3500000000000001],31.504104792941718,0,36.37461428571429,3,110,1273,12.731115000000003,0.4856657142857143
Spine: 28,0,[399  93],[399  77],[0.4000000000000001],32.043673310651485,0,41.245875,12,83,1649,16.498350000000002,0.12498749999999999
Spine: 29,0,[425 111],[425 131],[0.5500000000000002],34.87548793307494,0,30.713527272727273,4,95,1689,16.892440000000004,3.25422
Spine: 30,0,[424  94],[424  80],[0.5000000000000001],34.975487933074945,0,60.843467999999994,16,114,3042,30.421734000000004,0.339966
Spine: 31,0,[420 112],[420 134],[0.4000000000000001],35.37548793307494,0,41.681155000000004,14,88,1667,16.672462000000003,0.89991
Spine: 32,0,[433  94],[433  80],[0.4800000000000001],35.475487933074945,0,47.72936875,14,92,2291,22.910097000000004,0.5207812499999999
Spine: 33,0,[418 123],[418 167],[0.3400000000000001],35.575487933074946,0,55.33716470588235,14,104,1881,18.814636000000004,0.0
Spine: 34,0,[445 111],[447 133],[0.5200000000000001],36.55771688860843,0,41.226646153846154,8,82,2143,21.437856000000007,0.0
Spine: 35,0,[470  87],[467  70],[0.5000000000000001],40.11758394582772,0,40.135986,13,76,2006,20.067993000000005,0.019998
Spine: 36,0,[497  79],[497  53],[0.3400000000000001],42.33935011963182,0,62.50267647058825,23,101,2125,21.250910000000008,2.5291588235294116
Spine: 37,0,[504  84],[502  68],[0.4900000000000001],42.639350119631814,0,62.99989387755101,21,100,3086,30.869948,1.0203061224489796
Spine: 38,0,[492  86],[492  74],[0.6500000000000001],42.83935011963182,0,69.99062923076922,18,128,4549,45.493909,3.9842169230769233
