,type,location,bgloc,area,distance,closest_Dend,Timestep 1 (mean),Timestep 1 (min),Timestep 1 (max),Timestep 1 (RawIntDen),Timestep 1 (IntDen),Timestep 1 (bg mean)
Spine: 0,0,[360  94],[360  68],[0.7300000000000001],0.5,0,67.04032191780823,19,132,4893,48.93943500000001,0.3013397260273972
Spine: 1,0,[371 120],[371 146],[0.6400000000000001],0.6000000000000001,0,67.43106875000001,19,151,4315,43.155884000000015,0.18748125
Spine: 2,0,[374  97],[374  77],[0.6400000000000001],0.9,0,67.21980312499998,5,233,4302,43.020674,0.7655484374999999
Spine: 3,0,[353  99],[353  83],[0.5400000000000001],1.2000000000000002,0,79.75404999999999,7,224,4306,43.067187000000004,1.1480333333333332
Spine: 4,0,[379 120],[379 146],[0.6000000000000001],1.4000000000000001,0,112.17999666666665,32,199,6730,67.307998,0.13332
Spine: 5,0,[343  98],[343  80],[0.6900000000000002],2.2,0,66.21704347826086,13,118,4568,45.68976000000001,0.6086347826086956
Spine: 6,0,[388  93],[388  65],[0.7600000000000001],2.3000000000000003,0,73.3693342105263,6,198,5576,55.76069400000001,0.2762881578947368
Spine: 7,0,[340 116],[340 133],[0.4900000000000001],2.5372074121686694,0,91.93395102040817,11,212,4504,45.04763600000001,0.6121836734693877
Spine: 8,0,[393 117],[393 137],[0.7800000000000001],2.8000000000000003,0,70.49097435897436,28,112,5498,54.98296000000001,0.5640461538461538
Spine: 9,0,[399  92],[399  62],[0.8300000000000002],3.4000000000000004,0,78.37111325301206,11,253,6504,65.04802400000001,0.15661084337349396
Spine: 10,0,[400 120],[400 146],[0.45000000000000007],3.5,0,53.125588888888885,8,102,2390,23.906515000000002,0.17776
Spine: 11,0,[406  86],[406  44],[0.5500000000000002],4.1000000000000005,0,75.46988545454545,35,128,4150,41.508437,0.07271999999999999
Spine: 12,0,[409  80],[409  26],[0.37000000000000005],4.4,0,28.75388108108108,6,55,1063,10.638936000000001,0.0
Spine: 13,0,[413 126],[413 164],[0.6600000000000001],4.800000000000001,0,81.87648181818182,20,165,5403,54.038478000000005,0.015149999999999999
Spine: 14,0,[322 117],[322 135],[0.6200000000000001],4.902082429892864,0,78.20916129032258,3,224,4848,48.48968000000001,0.7579887096774192
