Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[102.0, 12.0]",[5.1 0.6],250.8008,nan
"[102.0, 12.0]",[5.1 0.6],250.8008,243.7106
"[102.0, 13.0]",[5.1  0.65],249.80089999999998,244.65855714285718
"[102.0, 14.0]",[5.1 0.7],253.80049999999997,244.5661294117647
"[102.0, 15.0]",[5.1  0.75],245.80129999999997,243.50153
"[102.0, 16.0]",[5.1 0.8],228.803,242.67117826086957
"[102.0, 17.0]",[5.1  0.85],226.80319999999998,242.41702307692307
"[102.0, 18.0]",[5.1 0.9],239.80189999999996,242.90503793103446
"[102.0, 19.0]",[5.1  0.95],250.8008,243.551525
"[102.0, 20.0]",[5.1 1. ],246.8012,244.43000857142854
"[102.0, 21.0]",[5.1  1.05],253.80049999999997,245.01190526315784
"[102.0, 22.0]",[5.1 1.1],247.8011,245.55742195121948
"[102.0, 23.0]",[5.1  1.15],253.80049999999997,246.11944999999997
"[102.0, 24.0]",[5.1 1.2],253.80049999999997,246.56718085106377
"[102.0, 25.0]",[5.1  1.25],253.80049999999997,246.84119599999997
"[102.0, 26.0]",[5.1 1.3],251.8007,247.2351188679245
"[102.0, 27.0]",[5.1  1.35],253.80049999999997,247.58683571428568
"[102.0, 28.0]",[5.1 1.4],253.80049999999997,247.9027847457627
"[102.0, 29.0]",[5.1  1.45],253.80049999999997,248.12364838709675
"[102.0, 30.0]",[5.1 1.5],253.80049999999997,248.29335846153845
"[102.0, 31.0]",[5.1  1.55],253.80049999999997,248.53632058823527
"[102.0, 32.0]",[5.1 1.6],253.80049999999997,248.75875070422535
"[102.0, 33.0]",[5.1  1.65],253.80049999999997,248.96314594594594
"[102.0, 34.0]",[5.1 1.7],253.80049999999997,249.15161428571426
"[102.0, 35.0]",[5.1  1.75],253.80049999999997,249.15161428571426
"[102.0, 35.0]",[5.1  1.75],253.80049999999997,249.32594749999998
"[102.0, 37.0]",[5.1  1.85],253.80049999999997,249.63812558139534
"[102.0, 38.0]",[5.1 1.9],253.80049999999997,249.77843033707865
"[102.0, 39.0]",[5.1  1.95],253.80049999999997,249.90958478260868
"[102.0, 40.0]",[5.1 2. ],253.80049999999997,250.03245578947366
"[102.0, 41.0]",[5.1  2.05],253.80049999999997,250.1478040816326
"[102.0, 42.0]",[5.1 2.1],253.80049999999997,250.1478040816326
"[102.0, 42.0]",[5.1 2.1],253.80049999999997,250.25629999999998
"[102.0, 44.0]",[5.1 2.2],253.80049999999997,250.25629999999998
"[102.0, 44.0]",[5.1 2.2],253.80049999999997,250.39897102803735
"[102.0, 46.0]",[5.1 2.3],253.80049999999997,250.57958318584068
"[102.0, 47.0]",[5.1  2.35],253.80049999999997,250.66288275862067
"[102.0, 48.0]",[5.1 2.4],253.80049999999997,250.74198235294116
