Dendrite: 0,Width,Timestep 1 (Luminosity (mid.)),Timestep 1 (Luminosity (ell.))
"[108.0, 126.0]",[5.4 6.3],180.8078,nan
"[108.0, 126.0]",[5.4 6.3],180.8078,187.14049999999997
"[108.0, 127.0]",[5.4  6.35],184.8074,178.70477499999998
"[108.0, 128.0]",[5.4 6.4],153.3976,176.44306
"[108.0, 129.0]",[5.4  6.45],167.3962,175.1019
"[108.0, 130.0]",[5.4 6.5],168.3961,175.34565714285714
"[108.0, 131.0]",[5.4  6.55],176.8082,174.10199999999998
"[108.0, 132.0]",[5.4 6.6],165.3964,176.62468888888887
"[108.0, 133.0]",[5.4  6.65],196.8062,172.60215
"[108.0, 134.0]",[5.4 6.7],136.3993,171.1289818181818
"[108.0, 135.0]",[5.4  6.75],156.3973,170.40129166666665
"[108.0, 136.0]",[5.4 6.8],162.39669999999998,171.50945384615383
"[108.0, 137.0]",[5.4  6.85],184.8074,172.24504285714283
"[108.0, 138.0]",[5.4 6.9],181.80769999999998,171.98844666666665
"[108.0, 139.0]",[5.4  6.95],168.3961,174.28948125
"[108.0, 140.0]",[5.4 7. ],208.80499999999998,174.84936470588235
"[108.0, 141.0]",[5.4  7.05],183.8075,175.1248388888889
"[108.0, 142.0]",[5.4 7.1],179.80790000000002,176.7396
"[108.0, 143.0]",[5.4  7.15],205.80530000000002,176.7396
"[108.0, 143.0]",[5.4  7.15],205.80530000000002,177.54295
"[108.0, 145.0]",[5.4  7.25],205.80530000000002,179.88500454545454
"[108.0, 146.0]",[5.4 7.3],200.80579999999998,181.14239565217395
"[108.0, 147.0]",[5.4  7.35],208.80499999999998,181.92004166666666
"[108.0, 148.0]",[5.4 7.4],199.80589999999998,183.43539600000003
"[108.0, 149.0]",[5.4  7.45],219.80389999999997,184.9495576923077
"[108.0, 150.0]",[5.4 7.5],222.8036,186.20342592592593
"[108.0, 151.0]",[5.4  7.55],218.804,187.7248392857143
"[108.0, 152.0]",[5.4 7.6],228.803,189.27924482758624
"[108.0, 153.0]",[5.4  7.65],232.80259999999998,189.79678333333334
"[108.0, 154.0]",[5.4 7.7],204.8054,190.66799032258066
"[108.0, 155.0]",[5.4  7.75],216.8042,192.297165625
"[108.0, 156.0]",[5.4 7.8],242.8016,193.37310303030304
"[108.0, 157.0]",[5.4  7.85],227.80309999999997,194.17988823529413
"[108.0, 158.0]",[5.4 7.9],220.8038,194.45490571428573
"[108.0, 159.0]",[5.4  7.95],203.8055,195.10349444444444
"[108.0, 160.0]",[5.4 8. ],217.8041,195.47380540540541
